,Well,Fluor,Target,Content,Sample,Cq,SQ
,E07,FAM,0,Unkn-21,15.1_D,21.4800546112085,959406.194581925
,E08,FAM,0,Unkn-21,15.1_D,21.3980290289842,1015163.77180903
,E09,FAM,0,Unkn-29,5.1_D,21.3472616105327,1051285.04181573
,E10,FAM,0,Unkn-29,5.1_D,21.3699185315683,1035008.39317698
,E11,FAM,0,Unkn-37,17.3_B,21.6028973713632,881577.783112286
,E12,FAM,0,Unkn-37,17.3_B,21.6266413196383,867279.132428592
,F01,FAM,0,Std-06,STD6,33.6041638318163,300
,F02,FAM,0,Std-06,STD6,33.1480143759516,300
,F03,FAM,0,Unkn-06,7.4_A,21.7941070648992,772805.887042135
,F04,FAM,0,Unkn-06,7.4_A,21.8562968060254,740405.552048896
,F07,FAM,0,Unkn-22,7.3_B,21.8751809268493,730838.614902021
,F08,FAM,0,Unkn-22,7.3_B,21.9526431188967,692871.645511314
,F09,FAM,0,Unkn-30,5.3_C,23.1366860072074,306555.634411143
,F10,FAM,0,Unkn-30,5.3_C,23.2097215382125,291517.4834518
,G03,FAM,0,Unkn-07,3.1_D,23.4125352332571,253515.005916387
,G04,FAM,0,Unkn-07,3.1_D,23.3093520912505,272185.773955141
,G05,FAM,0,Unkn-15,13.4_A,21.603801192799,881029.208595382
,G06,FAM,0,Unkn-15,13.4_A,21.4725288809883,964391.647561018
,G07,FAM,0,Unkn-23,12.2_B,21.7453954082451,799171.383382919
,G08,FAM,0,Unkn-23,12.2_B,21.6332538539718,863338.500866422
,G09,FAM,0,Unkn-31,13.1_C,21.2178787315239,1149260.53988808
,G10,FAM,0,Unkn-31,13.1_C,21.2370931404683,1134152.68786127
,G11,FAM,0,Unkn-39,8.2_C,21.2349665161805,1135814.98202981
,G12,FAM,0,Unkn-39,8.2_C,21.3246574999127,1067778.82254651
,H01,FAM,0,NTC-01,NEG,NaN,NaN
,H02,FAM,0,NTC-01,NEG,NaN,NaN
,H03,FAM,0,Unkn-08,17.3_C,22.2667862504239,558076.289054464
,H04,FAM,0,Unkn-08,17.3_C,22.199463050683,584560.852060356
,H05,FAM,0,Unkn-16,15.2_D,21.8831331775033,726846.984186093
,H06,FAM,0,Unkn-16,15.2_D,21.9470202312455,695559.964958536
,H07,FAM,0,Unkn-24,6.2_C,22.4106478431713,505434.663606854
,H08,FAM,0,Unkn-24,6.2_C,22.4043599223183,507628.177003168
