"Sample","SQ.Mean_SCNAG","SQ.Mean_mtDNA","mtDNA.Mean","Cq.Mean_SCNAG","SQ.Mean_Telomeres","Cq.Mean_Telomeres","Telomeres.per.cell","Plate_ID","Treatment","Time_Point"
"17.4_B",62273.1592366884,876034.403271012,14.0676081639181,27.2445970955904,171194692894.732,18.7520010894529,2749092.78721598,"Plate5","Cold-Dormancy","B"
"17.4_C",74840.3885188141,1399614.7289006,18.701329009653,26.9670340425584,250083096576.181,17.9667820148963,3341552.62319774,"Plate4","Cold-Dormancy","C"
"17.4_D",50286.2626552539,701026.136449782,13.9407086435472,27.1595664107955,169287035867.805,18.1159563019654,3366466.84261229,"Plate3","Cold-Dormancy","D"
"17.5_B",26954.7728761817,522403.067878687,19.3807260138446,29.2484223524693,1.88e+11,18.19018215,6974646.0437114,"Plate2","Constant-Warmth","B"
"17.5_C",32564.05975,441144.027,13.5469603724701,28.13273097,1.97e+11,18.20420154,6049614.2530263,"Plate1","Constant-Warmth","C"
"17.5_D",50200.6831414561,901640.390773538,17.9607195430565,27.1616018767432,194556287831.092,17.9148066496971,3875570.52327095,"Plate3","Constant-Warmth","D"
"2.2_B",67392.4269605294,1094034.18235016,16.2337851846605,27.9218765910264,2.13e+11,18.00594786,3160592.5117484,"Plate2","Cold-Dormancy","B"
"2.2_C",82669.4365439965,1338005.12955991,16.1850036179674,26.8308555941803,243256633490.861,18.1977668609696,2942521.97257206,"Plate5","Cold-Dormancy","C"
"2.2_D",13977.4842600427,249770.725124445,17.8695050180426,30.2058052327271,89280357555,19.32774295,6387441.10842785,"Plate2","Cold-Dormancy","D"
"2.3_A",60356.6418515931,1026603.01119607,17.0089484719895,27.2852305346663,213707278349.715,18.2031204722012,3540741.69459569,"Plate4","Cold-Dormancy","A"
"2.3_B",51350.7063724475,1071954.3815419,20.8751633086992,27.604287045085,2.48288e+11,17.86556625,4835142.83521561,"Plate6","Cold-Dormancy","B"
"2.3_C",24371.93604,610022.3003,25.0297021664102,28.55330786,2.35e+11,17.92195641,9642237.67920244,"Plate1","Cold-Dormancy","C"
