,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D5,D6,D7,D8,D9,D10,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,69.5,6509.41561761304,6670.56263049917,6299.0434531023,6513.01213904386,6414.63076139764,6316.93063064686,6547.39579378326,6465.92858122877,6671.88851062457,6524.57759926661,6424.24988557613,6713.65557368091,6355.57185969977,6727.29225112939,6781.30821808602,6560.70424626655,6655.60740866694,6801.46659142232,6705.03068029,6626.23082723675,6770.50246641848,6623.57818624696,6505.66820400553,6645.84935096516,6682.45386293383,6840.92688559173,6846.04773536401,6810.60903846345,6751.14509232828,6785.23347383456,6722.70780202793,6617.78459177752,5715.71525097503,5961.54927561563,6651.36867385131,6885.97534951022,6884.26886052025,6910.0945223582,6877.1877926879,6917.33582858533,6718.01593199829,6737.34336741495,6678.52830565595,6885.1582115886,6880.61859773694,6660.87101936771,6854.31961482119,6960.66101123265,6829.86322749833,6729.32819331173,6718.76206708437,6854.82980798444,6529.53853608191,6724.40727678441,6647.32557553418,6648.25166247762,6950.70631724929,6626.26647636124,6604.96768926236,6816.78437758711,6437.7114504167,6626.36372954425,6428.61011015421,6750.35789831945,6576.7035687822,6776.94322187281,6688.03689611281,6640.02757112629,6689.3186677727,6438.72932281945,4948.09971173034,5012.6092000569,6099.08618185806,6289.79279009832,6458.57505849842,6471.47582647904,6490.15043407069,6464.02239225622,7548.12333333532,6487.78868144517,6648.13686005573,6406.52590290687
,70,6428.2894595996,6594.24734967537,6211.55690455009,6422.00546008461,6322.59591898162,6230.1361183698,6456.13708747698,6377.09459140062,6576.28919649869,6427.19027229356,6345.91207518494,6632.93258814565,6264.10297669539,6628.02560549864,6681.3776018967,6466.06770235627,6564.6240347081,6700.90955547642,6602.6172125258,6526.57767237723,6670.23758390233,6520.55600701877,6431.72665203962,6568.72428067894,6585.64220330473,6734.78435003902,6740.91007965636,6704.55657702811,6645.96135751151,6679.46161666701,6626.92579648096,6514.76269438394,5667.83555766821,5910.65437495696,6552.52862074302,6776.9309860431,6778.25235034468,6800.33576647741,6773.70688771055,6813.50253782187,6615.32500331242,6635.57824857905,6584.27058938969,6779.42276310707,6773.92899396488,6561.9921282558,6747.61167833519,6851.85537731432,6724.60425516722,6622.77911384639,6616.30314620837,6750.26091909383,6437.36953514834,6622.03371430079,6546.4579897238,6549.51460502679,6843.04666325075,6521.57396817597,6509.9094292284,6712.50644504196,6341.34236985341,6528.01976659003,6331.22321420772,6646.53164839394,6476.57867538114,6670.79678674135,6587.71405314691,6538.32411561313,6586.92383906871,6337.55928038833,4915.8475896587,4982.87855969819,6011.76317444153,6196.79217110863,6363.37368839716,6376.45892113237,6392.61681622976,6365.49864826519,7460.55572126437,6390.89840422659,6549.48070307135,6306.98298081411
,70.5,6342.81213392819,6510.50623489077,6113.26028114316,6319.59963023633,6220.25480789408,6132.43953941407,6354.10329413188,6277.3995447929,6471.14547531136,6321.72087501192,6263.76869748736,6546.52467473781,6163.70783767985,6518.41910666007,6571.31116254922,6361.91140954139,6461.91854918704,6589.230050335,6491.16737960863,6419.12546138924,6559.87190430189,6410.71544436329,6352.22721802725,6486.43484976278,6478.70137505319,6620.4938302125,6626.20697152026,6589.46298809881,6532.06276058778,6565.10883744184,6519.51353094095,6404.02979993299,5615.4865704092,5855.71092627126,6443.61258793515,6659.74846377351,6661.85467466753,6682.06191639511,6659.95922449372,6699.16427230022,6503.16970328469,6523.56884601278,6478.72840431935,6664.05750905991,6658.23376600655,6453.2771917811,6632.33539996605,6733.81484214328,6609.17618199826,6508.59801148187,6503.94911754235,6635.99951747418,6334.66900299971,6510.7674293508,6437.35515940382,6441.84815828657,6725.1574185404,6409.13089409108,6403.27327004577,6599.60080489413,6235.6574907698,6419.80394331978,6225.34348009869,6533.72350173478,6367.33677066921,6555.70548578116,6477.30357224781,6427.0872368743,6474.70520876258,6229.54997551415,4881.02057361302,4949.46704143097,5914.98682962099,6094.79572715229,6259.80581363762,6273.64946009539,6286.3996613512,6258.9883487843,7358.99737764978,6284.22146364831,6440.94560093724,6200.76205939606
,71,6255.45930911341,6421.72292441877,6006.69127244289,6208.32737519684,6109.62715436072,6026.20946413193,6243.50585300303,6169.26840333842,6358.59060150011,6210.13175162406,6179.92578192853,6456.74940972185,6056.06154049215,6401.24820447934,6453.82190372978,6251.0522100916,6349.4865310311,6469.4528811903,6373.01899687093,6307.79700025792,6442.37289568525,6295.50119245291,6268.99527616805,6401.82273343638,6365.0068595578,6500.88259021239,6504.58584656874,6467.4815461963,6411.80045750152,6443.90794622309,6402.21302651357,6287.0289470906,5560.06045039473,5797.30198748157,6326.87594007265,6536.41150346972,6537.13177009303,6556.63158785455,6537.95302103282,6576.37775161227,6382.90657370413,6403.13570966428,6363.06973542152,6541.41543040602,6535.06858955734,6336.57923214613,6510.07738477278,6608.09657772972,6485.74025990008,6388.328921217,6384.03191699578,6513.77723806421,6222.83626533618,6392.21078356656,6322.20859123757,6326.27014150408,6598.68899879996,6290.75544011819,6286.9303428218,6480.22372594073,6122.70308448375,6303.22278550745,6112.81673719861,6413.63185613281,6250.84421534166,6432.95003065206,6358.46563007873,6308.06223086489,6354.63707798804,6115.76151235435,4843.86882051704,4912.72324299541,5810.50332487802,5985.52672134625,6149.24045807445,6164.55544762266,6172.89985537115,6145.5924792596,7245.92542512844,6169.67770352704,6324.3913251235,6088.79248222811
,71.5,6166.93046279303,6329.8991250319,5892.59848453591,6089.48799117386,5991.62466196872,5912.03012544988,6125.83779351141,6053.80678879618,6239.51185086742,6092.53073428725,6095.0627255661,6365.49020256534,5941.61142536989,6277.43411749735,6329.24081534589,6133.67917667179,6228.3067890641,6342.12899011568,6248.7246475227,6192.38924919257,6318.08009475343,6174.6397163567,6183.97889869067,6315.79626068896,6245.04900786916,6375.64380724454,6375.83850113714,6339.46204056418,6285.4574063837,6316.39044361865,6275.46894932676,6163.41829155296,5502.31807971922,5736.22287668154,6203.70616040993,6406.65094937996,6404.29910397816,6424.32704715408,6408.59588215394,6446.10928440807,6256.15595525066,6275.94143709404,6239.00938529411,6411.92416870124,6405.25280760441,6212.52859203165,6381.14077509941,6475.028153104,6355.40917798174,6261.79116247958,6257.34184569272,6384.42401931099,6103.14027103381,6267.0049437011,6201.14151109897,6204.16304779299,6464.65713049972,6166.55165783431,6164.40700947475,6354.53418062963,6002.74965700761,6179.31676349559,5993.41241867332,6286.25710536205,6127.21530573966,6302.55758269857,6231.99182527734,6181.78663317386,6226.82104901996,5995.63269482491,4805.0829168182,4873.04387938736,5699.39260179796,5869.98134578547,6033.21584222229,6049.87359923514,6052.93985288494,6025.93925416507,7123.42509457168,6047.79773035432,6200.0957739184,5971.37779428418
,72,6077.27046431919,6235.64243315213,5771.00754045089,5963.00155551906,5865.83301922566,5789.84695898706,6000.59116620698,5930.86547513607,6115.63957616095,5968.43461152313,6009.53203477358,6273.71286235359,5820.69105127276,6147.10761404035,6197.75333725013,6009.77910129121,6098.22531042033,6206.9932193915,6117.52628436631,6072.2715129897,6186.78238126664,6047.40446486828,6098.20909901864,6229.09274308794,6118.43444454498,6244.00833319923,6239.64852951946,6203.79503596164,6151.86188664025,6181.43843848247,6140.94986260652,6032.48270984003,5442.60987426459,5673.35348378761,6072.92673569594,6269.70340470705,6263.60937885079,6283.36561235851,6271.93690841152,6307.97192638812,6121.67689242238,6141.25323438881,6106.97909757742,6274.82170472661,6267.84753649418,6080.69365135551,6244.63772620059,6333.83094064477,6217.7395221633,6127.64324502239,6123.01097330904,6247.47017394302,5975.07504300464,6134.77808194878,6073.07628239519,6075.31737354352,6322.71584855091,6035.24212046313,6034.72762167226,6221.59725836535,5875.74204904549,6047.83751762399,5866.87708795617,6151.42239082385,5995.94920273817,6164.25845917117,6098.01678155103,6048.08142908339,6090.99288444019,5868.2186750355,4765.26954585399,4831.88030466086,5581.81608496934,5747.87775347683,5911.04744780901,5929.08026593043,5925.99207829842,5899.57172185045,6993.5314806461,5918.28554158232,6068.35794916367,5847.31322380152
,72.5,5985.55167330831,6139.12686739257,5641.64767003233,5828.7189865295,5731.72327295658,5659.24831799077,5867.18729035236,5799.97001046293,5985.72387407682,5836.45893676484,5922.61144427468,6180.42166105872,5691.76889466073,6008.21001311528,6057.07166853117,5877.50420556292,5958.12222009964,6062.34189026427,5976.99243860537,5944.90611040375,6046.46255545236,5911.48905074521,6011.77226291121,6141.84446508585,5982.66561870719,6103.86025247636,6093.30791179186,6057.86645114877,6008.50386247985,6036.67203908567,5996.35968285623,5892.11790919828,5382.14284636176,5609.43734933892,5932.116807526,6122.85110088233,6112.71510248484,6131.42369234943,6125.55642894334,6159.35191933816,5976.43591110675,5996.02500267195,5964.13032717731,6127.29481244533,6119.82602488594,5938.62109771521,6097.90661461921,6182.12366219209,6069.60325602852,5983.70968857663,5978.62319657739,6100.60363788416,5837.09627893246,5993.23737516211,5936.19386675211,5937.69161958859,6171.12462764229,5894.54454570281,5895.49789639751,6079.68131675847,5739.29757669297,5906.2009148642,5730.78907954878,6006.30678378713,5854.1292817244,6014.7681621227,5953.36664924513,5904.76961599064,5944.55373501387,5731.27669347486,4725.06460497747,4790.20464165554,5455.42829384956,5616.80666714467,5780.91289743174,5800.4936815186,5789.87339525615,5764.25406875223,6854.3785036601,5778.93020266349,5926.72306259232,5714.57596926878
,73,5890.20905654929,6038.88588268546,5502.38674216504,5684.31581292579,5587.22412677844,5518.12332994412,5723.36702642564,5658.90765499443,5846.86831747759,5694.39113071594,5832.98402911618,6084.17362242902,5552.66706845205,5858.35459212526,5905.15322823907,5734.99419618774,5805.96837692276,5905.96866365517,5824.98113474303,5807.6780298255,5895.24377648525,5765.18542028135,5923.89433827721,6053.79709651058,5836.19745421522,5953.06935027816,5934.74557873498,5899.99443242586,5853.36344970058,5879.69736097826,5839.52442169016,5739.57076195173,5322.15678277871,5545.41200787175,5779.52378925172,5963.50309048316,5948.43524070707,5965.32728602218,5966.96844983815,5997.89319297996,5818.12890226507,5838.44723369562,5809.59026442359,5967.76571218537,5959.21028881876,5784.15952029473,5938.40185343282,6017.03944709072,5908.79620894212,5827.67765955421,5821.96868927969,5941.21028931384,5687.10589358089,5839.29775274192,5788.74737443863,5788.95963219626,6006.42102041022,5741.88313007496,5744.4878316513,5927.37049544345,5590.37521264564,5751.93801996345,5583.01400593958,5848.36832340094,5699.46860397558,5851.83030977949,5796.32078382639,5749.57617990062,5785.34263043589,5582.18950142862,4685.64702437332,4748.76109869679,5318.80035966602,5475.01047452307,5640.46345834174,5661.43113724683,5642.2831237305,5617.60473590235,6703.94551633968,5627.71156819388,5773.35990376266,5570.8597722642
,73.5,5788.80285044679,5932.35217550399,5351.05874575275,5527.39727419351,5430.15708682894,5364.1187996645,5567.29957846573,5505.44388423087,5696.6105828229,5539.65438175243,5737.99242440926,5981.70697882688,5401.62138162476,5695.24696599887,5739.56569084718,5579.7094511918,5639.29953895337,5734.60760205396,5658.90058349054,5653.02381369516,5730.0143603652,5606.10004945305,5833.12347996901,5962.0051568142,5676.29457396263,5788.69859235398,5761.26543292588,5727.43395089199,5683.52999437201,5707.94610870547,5667.91015897427,5573.00434851406,5262.11140658368,5481.73948238535,5613.02881396952,5789.08016591301,5768.64105817593,5783.29851993142,5794.15823702963,5821.70202974503,5645.28416369337,5666.53518741657,5641.38650682427,5793.80462850739,5784.19489816701,5615.73407219317,5764.40706527068,5837.62878469363,5733.09005928843,5657.20889448889,5651.30455386333,5767.56039817409,5523.58056739404,5671.5480073208,5628.20896687826,5627.70555785415,5826.62118137171,5575.21395549476,5580.09206558068,5762.4031231637,5428.04637664817,5583.68576242071,5421.61313369873,5676.06669293421,5529.96651394908,5673.76449661005,5625.29226281725,5580.38534429035,5611.25323634042,5419.22655684779,4647.6638752496,4708.26790903427,5170.76087474766,5321.37851547459,5488.18888718504,5510.39693226039,5481.86804295465,5458.05688022734,6540.86830702654,5462.94898832936,5606.23178394359,5414.69668383295
,74,5678.12167410463,5816.06196196995,5187.05805243042,5357.1146999065,5259.70322719151,5197.14899215834,5398.16251864839,5339.09674466621,5533.23137698363,5371.78038112062,5636.56564218783,5869.813973797,5238.47376117331,5518.42523594956,5559.91915471149,5411.47418061806,5457.81491496939,5548.25997624731,5478.2088588673,5480.69791216666,5550.71166665641,5433.64684112864,5736.40495304657,5863.67885244644,5502.90372015066,5610.33541899493,5573.08920896636,5539.83454590772,5498.70491228011,5521.40043053164,5481.35453948908,5392.52289286978,5201.06683466238,5417.37325456675,5432.50248849947,5599.41742613501,5573.25563741312,5585.03782099237,5606.94162288724,5630.62011621877,5457.66062827563,5479.73297009595,5458.77070564991,5604.74436148963,5593.93452572972,5432.9400797153,5575.90014391796,5643.44660194739,5541.92612884744,5471.54210980169,5466.48921159513,5579.22177541379,5345.77392736677,5489.21497063087,5453.72687502957,5452.5824155168,5631.33661841524,5393.88889576042,5401.37772525765,5583.85400534859,5252.62329095995,5401.1696514049,5247.30841970595,5489.11516886426,5345.84121738009,5480.64686874484,5439.94545185375,5396.86349151753,5422.42871512397,5242.56477857059,4608.70927117736,4666.97247143778,5010.97429960188,5155.7004990374,5322.93417418177,5346.60036139741,5308.08983088254,5285.24885371574,6364.4409244575,5284.09867956651,5425.09946445779,5245.63575869132
