,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B7,B8,B9,B10,C1,C2,C3,C4,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E5,E6,E7,E8,E9,E10,E11,E12,F3,F4,F7,F8,F9,F10,F11,F12,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,11,-1.23168960977728,-4.27802013377914,2.53936391582783,0.830868664219906,-3.51810564227344,-1.05161439833546,-3.42319094507639,-1.94793556372269,-5.44151029543764,-2.70813038467304,2.81741704711294,2.32884747457365,-1.40252332192767,-6.01658664762681,-6.16455471374411,-3.50055369531538,-1.85425341131531,0.323008884549836,-0.0202762602157236,-2.15106530207868,-6.42278750851347,-2.32800783870289,-0.688058026640647,0.531303738624501,0.728209942944886,1.95128490427714,3.86554922254345,-1.7610496476691,4.00606426687409,0.685358159279531,-4.55951096825993,-3.83925330382544,-0.00690948854980888,-3.05332946974431,1.56176836823533,5.71328833245934,-1.73684037046769,-2.65856094121455,-1.56635291455268,-6.73506624532956,-4.97919727917588,0.475383689695718,0.0799373137083421,0.536066920206849,-2.77844435878114,1.19464854651687,-6.8965429069317,2.0167855222353,-0.87614707265675,-1.21025649766125,-3.10428966139261,-3.18748078194449,-3.65126995360015,-1.13317071224992,1.11212425558006,2.74766821075991,-2.78382001146656,-3.90225472863312,3.60501320459616,-1.61759101044663,5.82156976901706,4.92950546243219,4.31922066557581,1.07555968802626,-2.47907324752941,1.62634720743108,-4.69884401284526,-1.24157891112372,-3.9092651037804,-0.177202872116595,-6.64518854752851,1.83656579784702,5.25814428088961,4.95856068732382,0.403292768275151,0.470332437932029
,12,-3.79766202062729,-3.02013886168288,-2.32091210869385,-0.790052134127563,1.32854988669715,0.261884350976743,-1.03679020864956,-3.19957169714007,0.317511930930777,-1.4542431770069,-6.0939420248983,-2.01763196672391,-1.91411936448958,-3.28231530614084,-3.09523956945759,-1.7648790121234,-3.08673340801124,-0.825652062371319,-2.7129040522359,0.811832553265504,-1.74900624309566,-5.33297631802725,-0.680557537902587,-0.471676264661255,-1.1042413079108,-0.00366798773438859,-0.269151725617121,-1.10704639659116,-1.3122853793725,-1.83415064267274,-5.19569133268942,-6.17582554690853,1.58812792838899,-6.7705186892963,-1.76356987188183,2.63860590062586,-3.91533590706104,0.74622750442586,-0.920926791677175,-4.78356187744748,-4.68058384810411,-1.70501297144392,0.487755912953617,-1.7341815018076,-1.45192953512333,-0.0749241639100546,-5.03210345088701,-0.522095601638739,-6.14484299521155,-1.59698122897862,1.10236714552229,-0.0785479267965457,-0.141649529770348,-0.276238911636938,0.782802473896027,-0.57626562549558,0.989529255417892,2.68551961435969,0.594353147675974,4.0438082850319,5.54528131153393,3.50662722901325,1.32187834382376,2.0893533959279,-1.05488093442273,-1.02678846233039,-2.3145717656198,-1.12780730864006,-3.6560599315626,1.66106570535931,0.28915501508618,3.3686355061609,8.06703325242688,1.39559429870087,-0.743817612493785,1.18479546743492
,13,-0.808477894424414,1.14686979419685,-2.91151101067953,-4.6720913346976,-3.38131351002539,-3.43363697021277,-6.1495280643685,-0.441800919583784,-2.16679603999728,-4.02138106317216,-4.53530638892425,-0.896316429089893,-0.00114404144369473,-7.01778000898685,-1.80379415246443,-5.41101342862794,-4.53805838835797,-3.88217107048149,2.86793764894355,3.91442417430744,1.75549288192133,0.629765692452565,-1.25516753658349,-0.617126722057037,-1.57013660032544,-0.445673897428605,-4.24998305020563,-4.13830882454204,2.46786390603165,1.44698680994861,-1.91868124679695,-2.78812028580205,-0.561224825426962,-5.59618667113818,-3.61231479603202,2.81079007355856,-5.46197630669803,-2.71616652123612,-3.35873590549954,-6.82106612741654,-4.50841108813711,-4.77561771363025,-3.94522167467539,-3.92211676623538,-3.16193124208621,-2.79824962509883,-2.83409731578695,0.441373148164075,-6.05462245012495,-6.29230797850823,-7.3773671737099,-5.45785736271091,-3.98722215703447,-7.48191136101968,-1.32177244823652,-0.79233860505019,-9.15876626603722,-8.16270103703209,-7.47461270032409,-11.9620046211594,-7.63964638720336,-9.66742541472149,-10.9792338405068,-7.44299378290134,-4.24004683060639,-8.53659325230365,-7.88543477981239,-5.87615187494612,-13.2815789640922,-8.25840251823229,-11.9898611035856,-12.9063032601875,-9.98251637070098,-14.2706092618255,-15.7519963780601,-8.4045277243863
,14,-0.93358205583263,1.35246268286346,-2.43629352719881,-3.85328135904501,2.32420338782504,-2.1792581391137,-1.39016371555999,-4.26604919760121,-2.60746317882513,-1.61167914890211,-7.73692741909599,-5.64363991077107,1.06209898251791,-7.73822062038198,-4.27901790296301,-1.464012703344,-1.71254260426304,-3.00783679392771,-1.86007150358364,-6.20206413361348,-6.20223910191999,-3.63161833897902,-5.29562978153308,-9.24604178572827,-8.1707849078598,-6.50687537230624,-8.47658225962869,-7.12069209359333,-4.11644837055792,1.36676460039735,-0.777880954288321,-4.76541115744385,0.397172502145168,-5.65693123088113,-7.95995265394231,-12.6554139814293,-12.2587335721109,-11.2701541435245,-8.18908846530621,-13.6547689099771,-4.93294178369297,-1.51352686750488,-9.22256115301388,-5.44240576485527,-6.8918605006661,-5.75502466181069,-5.82073315662683,-6.838927888341,0.0960057146799045,0.593293216881648,-5.55139137653805,-9.85504646901109,-5.00935443486196,-8.92467169326119,-8.2185918981786,-7.74436086447304,2.05773336420816,-5.84989415261407,-7.59523404152787,-2.60932434492861,-10.5894321155829,-3.98124898003789,-6.66724119273704,-6.1653374592961,3.9986189256706,2.74686068666824,-1.11367093058971,0.51824097468625,3.95118921999892,4.49964490255115,1.64152782565679,-5.4065736528355,1.96920414005945,-1.48698901873831,-11.8383763409283,-0.31107729421683
,15,18.0367962778842,15.3794451109438,3.56764570877749,3.87346088492677,0.720748123488647,4.15707825461368,6.9182998686797,6.68241817210173,4.7884898109337,6.23911730544796,-5.9616208557236,-5.51940655634098,0.881698223257899,-2.3727390118861,6.72459856444038,4.79151186521221,3.16147024325846,1.4094282874712,-5.36521236655881,-4.46313265509525,3.15648431817226,2.35438024807308,-1.84717941395365,-0.532766958122465,-0.513952830932794,2.75346047810808,-4.8506875023827,1.27537318234135,-1.75096391396028,-3.37020223287209,2.52181368975835,6.72977425765657,11.1267963518776,5.78233219748654,4.99578189443582,13.4407911087633,8.63233250383018,1.77454451127824,5.49764561380516,-6.25383303708668,2.8442127375547,-2.17446730734764,1.71746277928742,-1.67695882413045,0.885344402327519,-0.755711133015211,0.148867011850143,-2.21843312656983,-5.82093660026885,-8.41873243767623,-7.75605913932259,-7.99815070326486,-4.56824420399789,-2.73564018999286,-8.41756837358616,-8.66696572526052,-5.15485168549958,-3.12666923003098,-1.98772145650628,-4.57676863099732,-0.136124010356525,-2.26141652990464,-0.39372599252647,-0.446956104097808,-9.96123756468342,-4.58250584305915,-2.96042640533551,-3.53162893847684,1.37679574817503,8.53240458109303,-1.3469485031037,0.66243892778175,-1.48270697491898,1.80936650709236,-7.33550381242549,-7.2550719780952
,16,31.8394929672004,41.9662598278187,7.40231843751008,12.2361641453199,11.7362463335544,9.00848654451602,11.3136370230227,10.2017196756292,13.2843373460032,13.6349396731066,-20.6928117162024,-12.2117808880744,6.13423764787876,-2.62351330937781,14.6766718003951,14.2549828521705,7.69178422349296,10.0207685988235,-13.414024497029,-15.9051228936432,15.5725085615236,13.1608435236176,14.1033101091093,14.5866675003645,16.8087336508747,15.8948683341901,20.8624474372828,17.6484902539869,-8.01744342807251,-7.18806435534952,14.2027795160543,17.5528261481695,31.1498548739746,20.248574096358,12.4902222196724,16.0484763010695,15.9510671154999,17.3395536686385,11.9124963410304,4.7715550235539,20.5885884824611,17.1727836705363,16.7350198401014,17.212901243583,16.1100309917242,17.4167645291559,26.4288218122747,12.2414713343505,26.09838610416,22.2385516339937,3.13821648651674,4.90964168904975,26.4449563989892,26.4764680695043,5.30821254565899,0.770204964809182,19.5767060002859,24.5459498194832,18.6969519513887,20.770490087752,14.0794350614751,12.1560629932383,19.1136653951285,17.0315784386185,0.107853365230312,1.05326987651279,17.6394271792569,14.0732342447159,21.2116837741205,31.6253952656593,20.0303714404972,22.7126848045264,19.2437228509998,19.8167844315781,6.87316537424795,19.7504668598594
,17,91.627795874917,103.137648441565,35.7349535094236,38.8197662804623,43.9269416196121,47.6377335846628,43.4710336754138,48.2444957656985,49.7850017116193,51.0904663408496,4.30281887699857,5.60906363562844,39.565188625957,30.1400774665167,51.4550828191532,52.4876846066122,47.164157067758,49.4682296826518,-1.10463376733014,-3.08491067847626,55.8892084736167,45.802545231988,50.8393493443923,51.9932332581329,58.1216736087054,51.9481876441382,60.5393615998987,56.9000565575598,1.54502593889765,4.23400844713342,50.1647133134402,49.6821636559257,75.5323778858578,70.4879185827772,41.896766163256,49.0730251482637,47.6678162667977,44.5910732861289,48.9859843415024,30.7868792410877,60.7147271681224,60.2089628451849,50.5378598085285,52.1688235607444,48.1034357984208,42.850465941628,51.6291995890483,41.2989536671789,59.901402611803,56.4798173042982,20.8429953760924,20.131146366462,66.407917034293,61.5514913911175,17.6982160256111,20.084230104062,51.9946679320788,56.0937600271295,50.4500224425283,50.1096710424372,34.1147358622688,28.4853717073916,37.9117367949266,37.4623712677617,-1.92907842840532,0.27336506509846,36.9145854764456,32.5981861410519,59.4381306145706,66.7894461057153,47.7013768215179,51.9892973354276,47.7895437011457,46.0551106825187,26.9725268861175,30.8783434477091
,18,173.998728055088,198.694960007656,68.6348020053292,70.288788397444,85.1040426774889,79.4130632232477,88.0945789592092,85.1263494299469,88.9088696444956,90.161833115118,1.58492096577356,4.69143688591566,70.9120896187596,57.1292102308203,100.247089264395,102.287118289955,83.1477133554067,89.3715910715223,-7.06346886454367,-6.08978150941311,108.007806112361,82.4957700307441,91.2670673292855,96.5269077682287,101.435799463841,101.568704720661,106.529368623444,106.290136423566,-8.7883253003547,-5.02489500011052,91.2075061613737,93.8085317522432,138.318359375798,131.360305514731,78.8379314798149,81.1089072928035,84.9784494975338,86.4069412644785,88.6649282830567,59.3046511773246,108.737465477268,113.338094347531,94.3204642183937,99.8704235266273,89.1307847350517,91.7023454052583,96.3451585650528,79.0091248465346,123.037395785931,123.175326055992,32.8417600940284,40.9059103505997,132.729448045508,129.81510653621,45.2091994702514,41.3757611392762,103.318826767271,110.152158973748,96.6560707323674,96.0370087842971,68.673036020733,58.6359403427909,75.6350539140594,74.951738111522,-2.76849107405587,-0.856386056608244,75.8633458341656,69.1669588469326,123.481442335078,132.771879460472,100.945661386866,105.12327601332,101.506037191153,90.5509480978976,59.9215379984857,72.5731254463726
,19,325.232948781773,367.371153937372,126.671076079399,132.623168504523,154.584242697157,155.171015793354,163.672174201521,166.175770005091,177.407492298926,178.955765664001,-4.40783042381099,13.7843792221761,133.266971900417,111.19933764649,196.867559982332,195.768096722734,163.142472887291,180.092774187789,-14.3942125724411,-17.2618292175375,218.523115140857,163.744025121674,175.10893942737,186.417914731999,192.260667389957,198.816296202572,209.393993275356,198.928241276608,-12.296559129893,-10.1599866756578,178.729483337303,181.299474411936,264.904433679127,247.261423098709,153.851517009668,148.240097002792,161.013298231513,158.43093102383,168.104651707736,114.431251312796,209.845440385482,218.797297824383,189.055869794317,185.494054722295,165.390288548979,171.102520305526,165.023793398591,147.116090459384,228.761437620054,229.159794901856,61.5795715180379,84.0866119281436,249.866701421436,241.514688078164,77.2681151751462,77.0404170293659,202.505691980531,212.616380154073,180.697852795288,181.232075945697,132.343287617999,116.281243584112,150.734784367645,152.797526269871,-6.17786813424345,-3.8431906860892,136.820448943743,132.807402965345,234.569490124015,242.633079310307,194.911906307696,203.488052070143,196.990451634059,183.80188950151,123.024002215845,131.022529686781
,20,639.014999896982,714.38872021139,248.874233752176,263.860728061949,300.841127845909,301.166068035466,325.942237204892,330.204295625642,345.086477247866,353.221557828227,33.0176403711166,43.1575965082725,269.498904616404,238.623517899077,372.693716437165,383.241237150239,322.481706100404,347.494171368184,-7.5055327628902,-5.13908963918493,417.456745107048,317.067715366538,348.716102696595,353.258934086167,374.055074832484,379.32532125736,395.789800086332,378.615718500829,-10.6896864440341,-3.50827786017862,351.249497200172,359.5205266263,495.092756215038,469.162707537555,299.321503822102,291.374768574393,311.225693872495,307.04342065786,325.331896718649,236.360893991915,402.337916138873,421.321164107241,365.321988646751,360.150310269868,319.340435754,333.274362252421,311.077990665534,289.531438814739,436.713206410793,439.880423603855,139.00668936203,174.008158454812,473.833460891401,450.103371589822,161.258103315199,158.814748077861,386.250529959412,407.799627715843,348.620691679627,349.394952737768,251.350463578057,231.032556538662,295.108564463324,288.455940508346,0.775389599192749,-4.49695327438121,264.178362093568,258.703954131222,440.442398524083,449.914505803076,379.332162119594,381.922376332209,383.311890948701,348.715786879789,244.697652811883,259.699193639568
