,Temperature,A1,A2,A7,A8,A9,A10,A11,A12,B1,B2,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C5,C6,C7,C8,C11,C12,D1,D2,D3,D4,D5,D6,D11,D12,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G3,G4,G5,G6,G7,G8,G9,G10,H1,H2,H3,H4,H5,H6,H9,H10,H11,H12
,65,7113.6717944318,7259.39228298153,7374.40846840155,7288.5122117908,7418.18066795487,7469.16346715533,7499.35622174724,7295.44649200906,7281.60925731092,7410.07989437127,7647.41313936245,7534.58465316852,7627.46057101516,7687.32767536074,7714.49130244827,7766.29181365869,7324.75229877941,7503.94364131295,7217.41560223679,7244.98587657495,7585.57484245517,7637.79385392056,7696.66873806856,7567.59502400895,7502.64305973512,7556.48082630812,6100.45839510541,6222.17163285096,7330.40684506606,7586.7457191895,7687.7347125623,7778.33990279542,7649.74313212013,7594.2989506651,7518.39457606985,7627.37067746308,7761.81867411842,7796.62039782055,7732.60326392221,7474.59960286067,7712.9885134479,7804.43995556742,7551.77812434829,7694.27102764714,7499.00950551944,7773.09357039317,7386.34141042321,7553.95983371833,7513.81739049624,7576.43669688797,7824.27076665708,7473.55484528512,7475.81676933155,7641.74622929127,7323.89892487236,7500.73807625442,7194.29576560343,7532.83163288385,7239.98058908366,7666.81420969175,7675.78943454538,7542.79935488111,4574.77003793648,4691.69666977295,6911.60185838644,7118.12596921937,7208.82837003492,7111.33197547079,8308.74748146872,7443.50522070347,7455.41993934009,6969.33072034703
,65.5,7084.2704064206,7221.20433243299,7337.52562923436,7251.36832361712,7380.16603220228,7429.22074001449,7467.11623476015,7265.75918829055,7245.42451737202,7369.86639507363,7610.72652216377,7498.75686693793,7589.63787529473,7649.07021698361,7676.76845217299,7728.34810801403,7294.50116338107,7473.94129855567,7181.70716376493,7208.12792672904,7548.80820321447,7606.2112381374,7657.31950465238,7533.40441331323,7470.80065734586,7524.48481589423,6073.54747020858,6194.43743906934,7295.4604652189,7549.34644140066,7651.97188815041,7746.11071590734,7616.75887780984,7562.84809829594,7483.08885767866,7590.88240491222,7723.48105651182,7762.6855241475,7694.64718482761,7443.1154602186,7676.89390322847,7770.25526194234,7522.67571476646,7663.02625432189,7460.72743240231,7734.54589980353,7351.26774394817,7516.13453653723,7478.10706055727,7537.08410840186,7788.75641436225,7442.69651232854,7444.7183249551,7610.55112440142,7288.24014178657,7463.63937555362,7161.70990872344,7497.73977624777,7202.70272248323,7630.18600144739,7637.23664087616,7504.15812440233,4556.78645523197,4668.7892525106,6877.1215588982,7082.21977727102,7175.53906325595,7079.21029577465,8289.24739093594,7404.31744798263,7417.05687603304,6947.03535527218
,66,7053.58187505336,7183.09204228871,7300.6453031867,7213.97541517398,7342.10908882087,7389.37965498479,7438.92255418566,7233.77841267806,7209.70015830914,7330.67428292164,7574.19239598579,7463.44313881643,7552.03106622135,7610.93545017915,7638.03664387877,7689.4931221553,7262.5559949187,7440.3651096066,7147.29613032221,7171.81893654555,7512.20368953324,7573.45566542156,7618.21289173911,7498.07700943901,7436.5414176925,7491.59368085727,6048.36512416758,6167.40116836631,7260.76925864915,7512.35534617316,7614.93288335399,7712.42355673764,7581.78243613064,7529.84988198207,7447.89065306942,7554.53586902436,7686.01023784604,7727.43366217086,7656.66498427325,7410.35704238072,7640.41410540767,7734.72372189244,7491.88583272048,7630.03796154614,7423.56745942785,7696.0486405724,7316.80517223636,7478.79069824718,7441.50354292558,7497.13156768511,7752.03617368581,7410.17850432275,7412.59215457728,7579.18286629604,7253.76931845653,7427.13500371648,7129.92611000576,7463.0293466901,7165.71088322176,7592.9926355413,7598.17568453909,7465.40016611486,4542.1856676074,4649.93321762173,6843.72820519988,7046.98529393486,7142.24673952825,7047.71851527845,8271.79680588769,7365.43617221727,7378.31668337965,6923.557529491
,66.5,7019.82485826192,7145.14129446581,7263.42406545032,7176.16821762585,7303.78377200951,7348.85634120188,7413.90181068753,7197.41031863346,7172.98157996855,7291.28153011857,7536.63078478636,7427.12989211518,7514.20723734024,7571.67690891008,7597.02234367213,7647.98474780734,7226.73975495136,7400.15583672973,7112.10539554026,7135.029922193,7473.36642931169,7536.43762105583,7577.50102658791,7460.16931603475,7397.38849128648,7455.9273305032,6022.47401552631,6139.29433946635,7224.75781147299,7473.46190463795,7573.94515925618,7674.1650854096,7542.1924193729,7492.96246446565,7410.56879493397,7516.07059051501,7646.46971885956,7688.35885508853,7616.55909414391,7373.75197760483,7600.99005076253,7695.23671468908,7456.49882885139,7592.47824839451,7385.30871877948,7655.42692961852,7280.6862270647,7439.99781073366,7401.97957779225,7454.86303625659,7711.72508348615,7373.05610736247,7377.17475615646,7543.93089189947,7218.11901769667,7389.08537453435,7096.43485821911,7426.83573142981,7127.68139347329,7552.80095655373,7557.16587502317,7425.29983829675,4528.99052626881,4633.70560201972,6809.59736631436,7010.07215772027,7107.02812060372,7014.88457167284,8254.88728211222,7325.2358971537,7338.52073923928,6896.17675223645
,67,6979.16335856312,7105.53091805292,7224.31682697581,7136.43031083751,7263.53168996008,7306.5345752301,7388.72230239965,7154.39852128598,7132.67230690027,7249.12835893338,7495.18038199413,7387.08041897149,7472.78607527636,7528.93251061553,7551.64622302192,7600.60768167264,7184.34256494504,7350.69393673618,7073.54550254751,7095.14973188446,7430.18862425142,7491.79693077642,7532.77180690284,7416.49777080859,7350.29400628608,7415.26839436124,5994.0288958964,6108.63070665693,7184.83707682981,7430.29249936413,7526.26909850293,7628.35897697834,7494.39781049083,7448.84809143358,7368.01692770243,7473.32592102915,7602.51616574425,7642.05948098952,7571.42274968799,7330.01058760526,7555.81383155813,7647.86043669291,7413.55960255103,7547.38662025275,7343.44374266017,7610.51086348398,7240.22938202199,7396.57031890458,7356.48200581252,7407.88631931087,7664.73485380271,7328.18863525908,7335.88769937242,7501.89068748809,7178.51099938912,7346.86752792103,7058.50244559154,7386.58298029214,7086.79714616417,7507.29830236089,7510.99547452077,7380.77599830768,4515.74672009455,4618.81964719148,6772.54397454321,6968.7215204207,7067.13926579583,6977.2550508371,8235.24813770593,7281.5500780917,7295.89133049639,6861.90764519109
,67.5,6929.8808418391,7062.05882750841,7180.38661676933,7091.75051501139,7217.99475281116,7259.18400073098,7359.81369569507,7102.4531855344,7086.42076216143,7202.42527505911,7446.67945304195,7340.70542503153,7425.35021439082,7479.81212203877,7499.39126462668,7545.03742039989,7133.04158465912,7290.17886186888,7029.57658722971,7049.65362295618,7379.58706484516,7436.84081492766,7481.03485702652,7363.99893477849,7293.67667094585,7366.75094518596,5960.75459115389,6072.78234053925,7137.74778551394,7380.46374444831,7468.60157360907,7571.74894177536,7436.48516773198,7395.51634392625,7317.42433946834,7423.24626780661,7550.7995807677,7584.7963469567,7518.1131230226,7275.41663109342,7501.63046927839,7590.13516115686,7359.97094128762,7491.85671764284,7294.25888637023,7557.48912011132,7192.47654404171,7345.56771399312,7302.5483216083,7353.68748544014,7607.6365152291,7272.536339151,7284.98003491527,7450.31772016427,7132.62609484705,7296.78834082001,7013.08107777951,7338.19110473646,7040.65773028784,7452.8137922724,7456.08667820846,7328.47709372018,4500.45803309739,4603.76848929685,6729.7120505989,6920.25367824147,7019.22841263401,6932.21901844455,8208.37530489401,7231.31693312844,7247.56118019555,6817.41767119006
,68,6870.59367879767,7012.27823049237,7128.12909933949,7039.18207912043,7163.96988518241,7203.56331586749,7323.69227434331,7039.8410294828,7031.25008014712,7147.77016888501,7387.40148817985,7283.89918782597,7368.0092165718,7420.78805720608,7437.22528201274,7479.32522628661,7070.57268831949,7218.69108062537,6977.2934853183,6996.44753497001,7317.95241656926,7369.18017057089,7419.00025253923,7300.53657432937,7226.13611938248,7308.46127863964,5921.4774170394,6030.44910666952,7080.04901518418,7319.7360382512,7398.84988545502,7501.90641512233,7367.3219032329,7330.98380433182,7255.16078117823,7361.71460458276,7487.1353900169,7514.4611463881,7453.21550270755,7208.78810264506,7436.0154943703,7519.79368398361,7294.54067050981,7423.88411126841,7235.00740668028,7493.61108729554,7134.45837084115,7283.62578881817,7238.02138482696,7289.952924633,7538.19683048877,7204.63631965598,7222.15380230062,7386.67757162681,7076.4222245724,7235.69730254649,6956.69055330455,7278.25198718329,6986.41102522323,7386.59085809964,7390.16312763381,7265.51950475283,4483.07516276008,4587.55050235931,6678.18372324215,6862.13486210888,6960.60395715233,6876.9342976649,8169.68997545769,7171.28143609439,7189.49998327316,6760.56790039233
,68.5,6801.37582341782,6954.06369032008,7064.56918087615,6976.36129128448,7099.15149180148,7137.21295047908,7270.88705379864,6966.08007171356,6966.03889889188,7083.30364677952,7315.45087494859,7214.11861182676,7297.91875535295,7349.18043093636,7363.11664122509,7401.49851286638,6996.5716420889,7136.1375914266,6914.9604952519,6934.35724408288,7243.00123244234,7288.21704118164,7344.46642045073,7224.29120446675,7147.5845557706,7239.24852884915,5875.68861715618,5982.1988973675,7009.2994014556,7245.59399433466,7316.28854730833,7418.5984373606,7286.35792922193,7254.69776194584,7178.79674425867,7285.76971763364,7409.13041962349,7430.49265967048,7374.73589452373,7129.47054711077,7357.37320598866,7436.3223805167,7216.25188210972,7343.02399592296,7162.05093204135,7416.23653775113,7063.18597755619,7208.49099547556,7161.34902598702,7214.51076532818,7454.90299367376,7124.02801957492,7146.44922713967,7309.77827156381,7006.38920048518,7160.47174420837,6885.95349030256,7204.07530992419,6921.25252438554,7306.88635907648,7311.18839563812,7190.11067853544,4462.67337665257,4568.56171369153,6614.50588702107,6791.02908881363,6888.59280362382,6808.19478324092,8114.65825004943,7099.28296643657,7119.66015061301,6690.47317822105
,69,6723.59064537235,6885.53699035681,6987.77190393829,6900.7890813696,7021.22379658127,7058.38121719774,7199.30518869318,6880.70395487192,6890.83670085673,7008.6674800392,7229.26526351353,7130.22432230551,7212.69123247799,7263.2626506716,7275.46969589753,7310.59182171511,6911.41513435604,7043.74210472171,6843.62971091631,6863.44005669448,7154.63018818801,7194.96917359636,7256.87072073096,7134.87537137927,7058.52366699985,7161.51104681848,5824.78404585291,5929.42083051733,6924.89650203684,7157.59425351294,7221.81934822238,7323.12761669095,7194.35967190831,7166.81158607975,7088.70461629398,7196.06121141349,7317.58187934726,7334.16909729975,7283.28328428764,7038.03348983952,7266.02530298019,7340.90319748153,7126.18704363857,7250.43524411017,7074.93615578062,7324.70339535447,6978.78502853685,7120.55297421589,7072.88646189036,7126.81459648844,7358.49080783396,7031.49142712331,7058.57608407273,7221.24861359745,6922.2012508742,7071.74872072869,6801.87356488453,7115.48904816364,6844.10493015496,7214.4214672697,7219.07014317107,7101.55583208471,4439.88248723153,4546.96607877408,6537.90458804831,6707.6295583353,6803.54779097487,6726.66474173691,8041.01542764223,7014.13585422432,7036.50405248456,6608.23881450145
,69.5,6640.25758516427,6808.00834681931,6897.08899065312,6811.61122201647,6929.67312132423,6966.03045565206,7109.6326761511,6784.66396821461,6808.27963009407,6926.28838438615,7129.89575436229,7033.58167263553,7114.00248207035,7163.89767333159,7174.93778994679,7207.73250928205,6816.2353507854,6942.79814223656,6766.08851986333,6786.05225214317,7053.7807403917,7091.04551889985,7156.41512365201,7033.62388225227,6960.22628180932,7075.77210335006,5770.33533218274,5873.32289437241,6828.32188029069,7056.94826459293,7116.66902039993,7216.54243529257,7092.6230017449,7068.21748990948,6985.95045538061,7093.11404748991,7212.89450457441,7226.5825874446,7179.21417307856,6935.77642864488,7162.84849388001,7235.07256288295,7025.54236980956,7147.31216207455,6974.45975274644,7219.89955578804,6882.41384390147,7020.94999977443,6972.96761733125,7027.42480018264,7249.73286934026,6928.36579727277,6959.26565056046,7121.61766064779,6825.1617874622,6970.06434128148,6705.33010532532,7013.01383414412,6754.15413010071,7109.56291892608,7114.48450688386,7000.47609987513,4415.27619837269,4522.68970890139,6448.70068085878,6612.73630124929,6706.38059621837,6633.70953143619,7949.17039731529,6915.90035504647,6939.34271731742,6514.91127426201
