,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B7,B8,B9,B10,C1,C2,C3,C4,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E5,E6,E7,E8,E9,E10,E11,E12,F3,F4,F7,F8,F9,F10,F11,F12,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,7302.78030485288,7426.87701865836,7079.64822696326,7274.51047132471,7295.73415971558,7153.64330067297,7423.53675329884,7303.40458836182,7476.11169429982,7568.44675293704,7281.60605060649,7640.99748676827,7259.70934539923,7659.12267537228,7436.11691124975,7726.99512468735,7721.3976137411,7722.56916049065,7180.1656435956,7354.40962222798,7544.10974763561,7601.58121681059,7699.02103500777,7770.10636705597,7705.37381489738,7784.64210353821,7656.47698523449,7729.23790473908,5765.11866209371,6132.48849703052,7422.09545716581,7637.64903641933,7544.19563759923,7765.71178372199,7660.75492291388,7877.36515176,7763.41408518785,7695.40506467141,7585.35595992249,7698.56078056834,7768.25277978658,7870.28879451266,7832.78360983586,7469.37957983422,7689.2225522781,7897.15002347363,7864.66763816678,7697.61560032558,7678.50271055741,7892.21333661503,7543.64972439135,7457.92334326148,7906.45158827045,7629.56249834952,7686.13020624764,7773.98628021183,7343.66794291513,7653.75721937279,7421.44998251231,7696.59288387223,7549.84347740235,7563.68504128785,7747.48946291948,7491.45340857739,4882.59912846108,4949.16681641007,6922.17854920037,7105.98577605065,7354.14886769274,7216.91194801408,7392.5890641772,7357.37203285963,8264.87584690412,7459.80816018,7022.766897625,7599.48284382313
,65.5,7269.52207772165,7385.95699674551,7042.46421338229,7238.422743095,7257.92149737521,7117.34586845632,7382.59557297531,7265.86672244369,7436.08739729637,7525.90307508011,7250.26391842068,7599.50321762412,7223.48963425761,7619.49615559208,7390.02187837284,7686.42516350681,7685.42464142342,7683.11409854689,7147.6116171235,7317.18737610228,7506.19627391417,7561.97273689749,7661.6512575689,7729.28035865596,7669.73457741004,7746.0755930156,7622.05734221233,7698.70055720309,5739.51025500924,6101.77842482372,7386.22577950943,7600.31634183519,7510.16444781638,7735.84439718587,7620.51225252293,7846.68035024416,7724.19042663061,7657.46591900479,7555.76907659671,7664.72126071688,7736.1100801734,7830.20482343982,7795.33484365096,7435.81477673056,7666.25860121174,7859.3445207532,7830.49383501311,7665.63091116488,7637.45372762191,7851.30673861264,7509.50868790459,7420.00449585221,7864.88363538593,7594.5094737791,7650.71913716179,7745.41495780315,7307.46459256804,7615.61710528254,7387.27119280266,7656.53729770365,7511.83042117363,7526.99898544802,7706.65167823759,7459.51654037549,4863.05291413331,4924.99163367447,6887.40514072697,7070.00658032186,7316.71434687241,7182.15048817781,7356.04616825928,7319.69536772489,8247.42826504196,7420.60050997617,6986.69893818834,7565.89365249358
,66,7236.38384967364,7346.13619989093,7005.28375385416,7203.22495357267,7220.16979297951,7081.90943527625,7342.48664967914,7228.62877672027,7396.20659301745,7483.870958406,7218.79309759809,7558.76082677861,7187.71653203806,7580.26485922778,7344.00149632288,7646.07591999957,7647.99574219984,7643.13960800265,7115.81359682224,7281.05938146383,7468.87131896323,7522.89613228604,7623.65957670722,7688.72515523826,7632.9124871657,7706.71320434004,7586.46236404301,7672.27510920696,5716.40184988746,6073.80482586095,7351.23416730851,7563.9897842992,7476.66737174129,7705.63905918589,7580.50485566308,7815.92290412974,7684.45058672151,7619.75942597576,7526.26596518928,7629.3988962178,7701.73692645923,7790.39394754065,7757.18062094846,7401.87251980899,7639.30736707081,7820.69666841989,7795.14471442885,7632.01262667499,7597.76116617779,7810.70319785599,7473.94955102756,7382.5920178505,7823.95598570834,7558.34863817776,7614.27206872317,7721.43562430981,7272.29148507837,7577.75476457098,7353.38321628542,7616.54127532636,7474.80838124303,7489.76256230483,7665.90113725136,7426.23723534129,4845.30498385763,4904.18890099325,6853.57661410993,7034.66583543614,7280.16841553061,7148.13464231994,7320.37235750183,7282.27190077368,8232.9043679043,7381.82508947304,6951.05592343066,7530.46891638367
,66.5,7202.07822248195,7307.405105527,6968.43913356641,7168.24586827557,7181.91358456619,7046.99096792475,7302.42695224863,7191.50708249179,7355.89723731561,7441.6109420456,7183.85369855111,7518.05830634246,7151.34731890423,7540.50123736485,7297.77382642567,7604.75665511959,7607.30761079031,7601.20192565812,7083.11395692409,7244.20441501612,7430.28799979113,7483.72421208981,7583.04538545416,7647.55403730237,7592.72521742328,7664.79173497263,7547.54747726497,7647.26987592999,5693.91954916632,6047.03278028967,7315.53794204788,7526.58811299795,7442.32537724147,7672.48348109775,7539.71604589035,7781.77668458066,7642.80549583025,7580.25417550666,7493.55187334689,7590.16283683727,7663.77955451518,7749.3399294792,7716.64411029783,7365.65017624666,7606.11466420949,7778.98858015992,7755.90391657012,7593.45546586786,7557.1735906146,7769.34766278881,7434.06984912727,7344.06714798788,7781.80997556782,7518.97314298188,7574.49983025281,7698.38494219413,7235.38869332805,7538.01801482607,7317.48968752,7574.69427452091,7436.23270396968,7449.48256685955,7623.57029878278,7388.3383695846,4828.22414763196,4885.91663643901,6819.21227293852,6998.44693305933,7242.17782014308,7113.04483279932,7283.26546840348,7243.82546557045,8219.61455152156,7342.22297200312,6915.44321033512,7490.19177115784
,67,7164.36922350134,7267.49347874908,6930.50698643207,7131.54631916662,7141.65148998007,7010.53180402255,7261.0287785766,7152.81745094331,7314.26229403292,7397.92582995959,7141.9108593899,7474.77206387218,7111.71203793657,7498.30040285976,7250.36574197764,7560.61673842709,7560.65277783941,7554.80586112798,7047.17643385657,7204.27223816841,7388.12907115107,7441.53462083304,7537.22684208123,7602.89077298893,7546.31199841987,7617.83278284117,7502.55357310865,7620.42171677347,5670.31546694028,6019.48066565792,7276.00510376845,7484.98968621188,7404.16559606636,7632.90513606909,7495.33565317177,7740.86926507251,7596.23996442745,7535.32189435507,7458.1573718749,7543.79215801981,7617.51740363179,7703.46072395303,7670.45215831878,7323.64036200255,7563.41034728566,7731.21847971457,7710.14646239532,7547.0986830335,7513.1340027681,7723.50268689264,7386.57056758209,7301.88318848958,7734.83402842493,7472.79338282904,7528.11761419187,7672.96609185244,7194.35315307465,7494.17946967272,7276.66324161158,7529.25619118769,7394.33866657875,7403.47408522786,7576.50334310364,7342.99600394922,4809.95325419601,4868.76269698393,6782.25013894679,6958.99591899989,7200.20885285024,7073.99699172954,7242.06195940529,7201.11085161343,8204.68670251693,7298.81474984443,6877.11540131441,7442.00990587478
,67.5,7120.31412968679,7223.81592040936,6888.70230368612,7090.4094171436,7096.8411226001,6969.95352268738,7215.23882322872,7109.76624112855,7267.94351703025,7350.06027441893,7090.9384714119,7426.08108098453,7066.27109167544,7450.25454361588,7200.95912957743,7510.71893184705,7504.99256011818,7500.76486827193,7005.32381852881,7158.92234587943,7339.92553398886,7393.70618728579,7483.10963185484,7551.44523756036,7490.82276665112,7563.12857860674,7448.68576596308,7588.4152163075,5643.32142735542,5988.89163726975,7229.35878125185,7436.65810731428,7358.69038493056,7582.59244308707,7444.11252603795,7689.89488387844,7541.55184320101,7482.13508996559,7417.13601393972,7488.10715572118,7559.4944238579,7649.80042511916,7614.86230719542,7272.27996469069,7508.71404152494,7673.98913965184,7653.99444599836,7490.54770109722,7462.79278040527,7669.96413185842,7329.58915281459,7252.47415334613,7680.40536874038,7416.56972995636,7471.85010480186,7639.43838233736,7146.83946643071,7442.54620205193,7227.73245117047,7476.20855795178,7345.62176223447,7348.57253103812,7521.55577940955,7287.75890628177,4788.35649252932,4850.83917653212,6739.89247429433,6913.22937162587,7151.04915727918,7027.55329436414,7193.36157242774,7151.22362545226,8182.95084825823,7249.084315991,6833.99005754712,7383.92652841561
,68,7067.19229809884,7174.09586942854,6840.2373393411,7041.03641823139,7043.80435092604,6922.18087242902,7161.72939221005,7059.54314285428,7213.94362424432,7294.7796006981,7028.50449403924,7368.57298772534,7011.44043097018,7392.35395498302,7147.54321819909,7451.04997524967,7438.26404183697,7437.22893429241,6954.30756449213,7104.75295263746,7281.84559761009,7336.43750894629,7417.66487000102,7490.23199397691,7424.26767088249,7497.55845087934,7384.16111551395,7542.09139570995,5610.41322651623,5953.0590583914,7171.50799795657,7377.29076296503,7302.07606768994,7519.13062165849,7383.04630896276,7624.29746476674,7475.74427313206,7418.52170172369,7367.92345013588,7421.3398187996,7488.41862593109,7585.3606499479,7547.90972279075,7210.24618621674,7441.68207318166,7604.71725336503,7585.24072059953,7422.29338520927,7403.24945609998,7606.09084698167,7261.07878840108,7193.73642154781,7615.38744685065,7348.48584086311,7403.39049260904,7590.03430022863,7089.33450456435,7380.61790939138,7168.58773435721,7413.26109394168,7287.5135077609,7282.69961956746,7456.21046935373,7220.47954630084,4763.62356810066,4830.75107859682,6689.38603432016,6858.13224386214,7092.02895746603,6971.12855586307,7134.35199188613,7091.37644963919,8150.15006555775,7190.65062530663,6783.44551178718,7313.75176381919
,68.5,7004.15549162134,7115.93522788244,6782.65280823512,6980.86527461347,6981.30494276369,6864.33694932234,7098.02059989928,6999.92451392765,7150.16109514952,7229.89953924935,6955.73406494146,7301.69778997138,6945.20901665727,7322.54282006648,7088.73765386027,7380.1721409362,7360.22764886767,7363.04099832816,6893.65867452059,7041.57107468003,7212.07025210338,7267.6044016236,7339.78925838702,7417.44191115406,7345.36109232217,7419.96210736672,7307.99267450312,7479.26876569176,5571.30872948904,5911.3636981373,7101.20881944094,7304.64346892853,7232.44292677005,7442.13758754473,7310.55053654,7544.41548050838,7398.35774726815,7342.60786644407,7309.5494190075,7343.41391392299,7405.78912804523,7508.50120061833,7469.00382936904,7136.2140997558,7362.48283450398,7522.96463190906,7503.80251522568,7342.54615272188,7330.98151137695,7530.16365070866,7181.31630177586,7123.88977657274,7537.91818754082,7268.53182079969,7322.78669108471,7522.86451200816,7019.44555204596,7306.17917573438,7096.91263195282,7338.60156199727,7216.71843056385,7204.62053110454,7378.9437225223,7141.76093818054,4736.12468701217,4807.78778391383,6628.02283213089,6791.61708098197,7020.47517146703,6902.25223520981,7062.64329052661,7019.59134918561,8101.87081400743,7120.71062987734,6723.06612702289,7231.51576801455
,69,6931.01473267315,7047.40458355159,6712.8968066569,6907.47272519401,6907.06026877606,6794.21416766166,7022.32335361685,6928.41369785595,7073.96650927926,7152.95434986474,6875.42924033719,7225.11989050108,6866.35321514417,7239.50182197834,7021.72285677803,7296.80212184826,7270.94022267724,7276.971989414,6824.38061394918,6970.67956019843,7130.26957041752,7185.79568232098,7250.51708579469,7331.74029285366,7254.86823576507,7330.63546333158,7220.93895298094,7399.39328301518,5527.64251354757,5864.66728678761,7018.28285544734,7218.74502225448,7149.95332754052,7352.58381311881,7225.43192243766,7451.59444854118,7309.29965822459,7254.73735967976,7242.64250946412,7254.98836276184,7311.24015029734,7418.74605988376,7377.94741004669,7050.24328726811,7271.34822268005,7429.27033699242,7411.13397153959,7252.37609414597,7245.91264333657,7440.92093555947,7091.33646879517,7041.3570437267,7447.05552096988,7177.01506112197,7230.27576870235,7438.61774610657,6937.53106686078,7219.44591765515,7013.15557865537,7251.84513592474,7133.18318133226,7115.08661348067,7289.79783448002,7052.88189957837,4705.95004438071,4781.37242448886,6554.659582425,6713.10115354121,6936.621928643,6821.16136937931,6978.54425920904,6935.31133866634,8035.37044999839,7038.36319213937,6650.86470307967,7138.88511927508
,69.5,6849.40641553397,6969.22241833399,6630.26140686125,6820.80431016126,6820.63541831473,6711.41110204828,6933.73711125482,6844.02904734101,6984.13254221073,7062.79993685155,6789.66537534667,7140.06973402525,6776.11925468887,7143.16136410564,6944.30811845479,7200.84313251712,7171.38673390094,7179.75212915915,6747.77363110859,6892.8311024554,7036.8430938188,7091.68452599023,7150.07183174943,7233.77634892163,7153.20033717382,7229.74190603234,7123.64694997671,7304.054316724,5479.97505019567,5813.77868778094,6923.11117220394,7120.61176705177,7055.6522658819,7251.15681636295,7128.12324510585,7347.4016849024,7208.97509414813,7156.37084688355,7161.80783926738,7158.10252248581,7206.96468816662,7317.35877708509,7275.86525004913,6953.770877361,7170.30622178542,7324.95114250631,7308.10145618381,7153.28582137731,7148.64043678257,7339.73437033381,6992.46946431924,6947.19703696198,7344.18216804191,7075.40199306438,7127.52640778392,7338.4634386252,6844.53325037435,7121.1832838836,6918.68204586426,7152.30990629481,7037.12052127086,7015.3574745108,7189.51846907735,6955.2194151662,4674.20480185417,4751.79470124659,6470.05308561974,6623.55345082221,6841.59539538443,6728.69419730903,6882.73779244463,6840.0662476344,7951.2086078351,6944.75376553162,6567.45471620086,7037.24556911167
,70,6762.04932236906,6883.90414988982,6537.14998464241,6722.59723559946,6723.49491286301,6617.71880515219,6834.18956528207,6748.51436592059,6882.89104929787,6960.70588533949,6699.6303528074,7048.53129464427,6675.52295368156,7035.13521203627,6855.31585017235,7093.72008651484,7063.36265095442,7073.44616739269,6665.69035810025,6809.58001752988,6932.06216923152,6985.91876163095,7039.40648400976,7124.37822483208,7041.15971729537,7117.87906593559,7016.45704360798,7194.43262453832,5429.63508590878,5759.41317066595,6817.33246857186,7010.23180957751,6950.36094266135,7139.69397552074,7019.58861762314,7232.72287121848,7098.72780273546,7047.82725106513,7067.81188312217,7053.54232425509,7093.96594587169,7205.17890632679,7164.39445633245,6848.07355337792,7060.11117980564,7211.45971465711,7196.15747502874,7045.43722992415,7039.78900006033,7227.30141692622,6885.38318431369,6843.04664700206,7229.63308915328,6964.51202294711,7015.96647989467,7224.9262100906,6741.04012268386,7012.89616283852,6814.18685957887,7041.24675170812,6930.05013157636,6906.27155301467,7079.55258559273,6849.33141486221,4641.44233112979,4719.87353538562,6374.89964077194,6524.21406040532,6735.9345739282,6626.22397116222,6776.20372873807,6734.55121256101,7851.80200561775,6840.5726370512,6473.28540604205,6926.93331153141
