,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,D09,SYBR,,Unkn-28,3.3_A,77.5,559.093572182461,65.5,86.5,
,D10,SYBR,,Unkn-28,3.3_A,77.5,551.027911978653,65.5,95,
,D11,SYBR,,Unkn-36,9.6_A,78,602.5708293993,65.5,92.5,
,D12,SYBR,,Unkn-36,9.6_A,78,598.851075020761,65,93,
,E05,SYBR,,Unkn-13,6.3_B,77,535.029246266789,65,87.5,
,E06,SYBR,,Unkn-13,6.3_B,77.5,547.570689510622,65.5,88,
,E07,SYBR,,Unkn-21,7.3_D,77.5,545.156800200333,65.5,88,
,E08,SYBR,,Unkn-21,7.3_D,77.5,509.851497546039,65.5,95,
,E09,SYBR,,Unkn-29,17.4_A,77.5,561.501469482167,65,87,
,E10,SYBR,,Unkn-29,17.4_A,77.5,579.897323816154,65.5,92.5,
,E11,SYBR,,Unkn-37,8.1_D,77.5,589.930197882028,65.5,92.5,
,E12,SYBR,,Unkn-37,8.1_D,77.5,564.73564135342,65,86.5,
,F03,SYBR,,Unkn-06,3.4_B,77.5,563.790667226448,66,95,
,F04,SYBR,,Unkn-06,3.4_B,77.5,587.134634980953,66,86,
,F07,SYBR,,Unkn-22,13.3_A,77.5,538.897371265008,65,95,
,F08,SYBR,,Unkn-22,13.3_A,77.5,535.016097306785,65.5,87.5,
,F09,SYBR,,Unkn-30,2.4_D,77,550.195080148133,66,93,
,F10,SYBR,,Unkn-30,2.4_D,77,518.523355088896,65,87.5,
,F11,SYBR,,Unkn-38,9.5_D,77.5,540.877889148396,65.5,95,
,F12,SYBR,,Unkn-38,9.5_D,77.5,564.656297788174,66,93.5,
,G05,SYBR,,Unkn-15,3.2_D,77.5,515.78700953015,65.5,93,
,G06,SYBR,,Unkn-15,3.2_D,77.5,545.954540818215,65.5,86.5,
,G07,SYBR,,Unkn-23,10.1_B,77.5,514.968083376065,65.5,93,
,G08,SYBR,,Unkn-23,10.1_B,77.5,543.134388394799,65.5,93,
,G09,SYBR,,Unkn-31,12.6_C,77.5,523.252529047057,65.5,93,
,G10,SYBR,,Unkn-31,12.6_C,77.5,523.709398380793,65.5,86.5,
,G11,SYBR,,Unkn-39,9.5_C,77.5,573.75847183359,65.5,94,
,G12,SYBR,,Unkn-39,9.5_C,77.5,545.522808966609,65.5,92.5,
,H01,SYBR,,NTC-01,NEG,78,437.222716483637,73.5,83,
,H02,SYBR,,NTC-01,NEG,78,456.330995717699,73.5,83,
,H03,SYBR,,Unkn-08,5.5_C,77.5,485.335469734547,66,86,
,H04,SYBR,,Unkn-08,5.5_C,77.5,498.290772725414,66,87,
,H05,SYBR,,Unkn-16,2.2_C,77,486.327351664835,65.5,95,
,H06,SYBR,,Unkn-16,2.2_C,77,470.334344193115,66,92.5,
,H07,SYBR,,Unkn-24,12.5_A,77,487.418580834919,65.5,93,
,H08,SYBR,,Unkn-24,12.5_A,77,483.894199480267,65.5,94,
,H09,SYBR,,Unkn-32,8.2_D,77.5,515.33159415928,66.5,87,
,H10,SYBR,,Unkn-32,8.2_D,77.5,536.044943113442,66,95,
,H11,SYBR,,Unkn-40,13.2_D,77,470.698959915294,66,85.5,
,H12,SYBR,,Unkn-40,13.2_D,77,525.652499093661,65,87,
