,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,D08,SYBR,,Unkn-20,6.2_A,77.5,486.738036510054,64.5,95,
,D09,SYBR,,Unkn-28,5.5_D,75,448.231138847224,64.5,95,
,D10,SYBR,,Unkn-28,5.5_D,75,446.274460615967,64.5,95,
,D11,SYBR,,Unkn-36,11.2_A,77,441.510954707261,64.5,93.5,
,D12,SYBR,,Unkn-36,11.2_A,77,433.550380682234,65,95,
,E03,SYBR,,Unkn-05,17.4_D,77,446.87083673859,64.5,95,
,E04,SYBR,,Unkn-05,17.4_D,77,458.685405418454,64.5,95,
,E05,SYBR,,Unkn-13,14.5_A,77,430.577501789337,65.5,95,
,E06,SYBR,,Unkn-13,14.5_A,77,474.202582629323,65.5,95,
,E07,SYBR,,Unkn-21,15.1_D,77,448.814308291916,65.5,95,
,E08,SYBR,,Unkn-21,15.1_D,76.5,421.160806850723,66,95,
,E09,SYBR,,Unkn-29,5.1_D,77,464.440888400871,65.5,94,
,E10,SYBR,,Unkn-29,5.1_D,77,469.508015140048,65,95,
,E11,SYBR,,Unkn-37,17.3_B,77,445.903514608675,65.5,94,
,E12,SYBR,,Unkn-37,17.3_B,77,469.069392066532,64.5,93,
,F03,SYBR,,Unkn-06,7.4_A,77,454.106587913264,64,92.5,
,F04,SYBR,,Unkn-06,7.4_A,77,474.558592532167,64.5,95,
,F07,SYBR,,Unkn-22,7.3_B,77,438.347625628614,65.5,94,
,F08,SYBR,,Unkn-22,7.3_B,77,438.688034584653,64.5,94,
,F09,SYBR,,Unkn-30,5.3_C,77,455.739462958689,65.5,95,
,F10,SYBR,,Unkn-30,5.3_C,77,439.03504483038,64,95,
,F11,SYBR,,Unkn-38,17.5_A,77.5,486.405368159794,65,95,
,F12,SYBR,,Unkn-38,17.5_A,77.5,478.700589895067,65.5,95,
,G03,SYBR,,Unkn-07,3.1_D,77,443.772121131241,71,95,
,G03,SYBR,,Unkn-07,3.1_D,70,321.311593693625,65.5,71,
,G04,SYBR,,Unkn-07,3.1_D,77,458.934435478884,71,93.5,
,G05,SYBR,,Unkn-15,13.4_A,77,424.978148662275,64,93,
,G06,SYBR,,Unkn-15,13.4_A,77,434.612982706324,64,93,
,G07,SYBR,,Unkn-23,12.2_B,77,423.814608953841,64,95,
,G08,SYBR,,Unkn-23,12.2_B,77,440.412967374846,65,94,
,G09,SYBR,,Unkn-31,13.1_C,77,437.854550136029,64.5,93.5,
,G10,SYBR,,Unkn-31,13.1_C,77,460.038436820591,65.5,93.5,
,G11,SYBR,,Unkn-39,8.2_C,77,448.570344915229,64.5,95,
,G12,SYBR,,Unkn-39,8.2_C,77,417.680704749653,65.5,95,
,H01,SYBR,,NTC-01,NEG,78,468.436698557031,74,82.5,
,H01,SYBR,,NTC-01,NEG,70,325.437138337004,69,70.5,
,H01,SYBR,,NTC-01,NEG,68.5,302.296047845343,67.5,69,
,H02,SYBR,,NTC-01,NEG,70,372.660821413043,67.5,70.5,
,H02,SYBR,,NTC-01,NEG,78,540.915560208302,74,83,
,H03,SYBR,,Unkn-08,17.3_C,77,411.43608604931,71,95,
,H04,SYBR,,Unkn-08,17.3_C,77,411.834188842994,71,95,
,H05,SYBR,,Unkn-16,15.2_D,77,421.85944922342,71,94,
,H06,SYBR,,Unkn-16,15.2_D,77,405.164543587334,64,95,
,H07,SYBR,,Unkn-24,6.2_C,77,427.439796253545,64,93.5,
,H08,SYBR,,Unkn-24,6.2_C,77,415.515336132412,64.5,94,
,H09,SYBR,,Unkn-32,5.2_B,77,412.700126958235,71,86.5,
,H10,SYBR,,Unkn-32,5.2_B,77,427.85211232724,64,95,
,H11,SYBR,,Unkn-40,15.2_B,72.5,400.25649208677,68.5,73.5,
,H11,SYBR,,Unkn-40,15.2_B,76.5,428.792417694405,73.5,93,
,H12,SYBR,,Unkn-40,15.2_B,77,403.730143364617,65.5,95,
