Clutch_ID,Nest_ID,Burrow_ID,Mother_ID,Location,Collection_date,Location_InNest,Egg_mass,Egg_diameter,Status,Tortoise_ID,Date_Pip,Date_Emerge,Date_Functional,ExpDay_measure1,Measure_1_Date,Mass_1,Carapace_1,Plastron_1,Notch,Tank.x,Measure_2_Date,Mass_2,Measure_3,Mass_3,Measure_4,Mass_4,Measure_5,Mass_5,Measure_6,Mass_6,Measure_7,Mass_7,Measure_8,Mass_8,Measure_9,Mass_9,Measure_10,Mass_10,Max.allowed.blood.volume..uL.,Measure_11,Mass_11,Carapace_10,Plastron_10,Measure_12,Mass_12,Carapace_12,Plastron_12,Measure_13,Mass_13,Measure_14,Mass_14,Carapace_14,Plastron_14,Measure_15,Mass_15,Carapace_15,Plastron_15,Measure_16,Mass_16,Carapace_16,Plastron_16,Measure_17,Mass_17,Carapace_17,Plastron_17,Measure_18,Mass_18,Carapace_18,Plastron_18,Measure_19,Mass_19,Carapace_19,Plastron_19,ExpDay_measure10,DaysBTW1.10,Mass_m10.m1,Growth_rate1.10,ExpDay_measure13,DaysBTW1.13,Mass_m13.m1,Growth_rate1.13,Rack,Tank.y,Total_bleed_time,Glucose,Date,Tortoise_Mass,treatment,timepoint
12.5,GT2023_N12,389,254,GWA,8/14/2023,Bottom,35.18,40.4,Hatched,GT2023_N12.05,8/17/2023,8/18/2023,8/19/2023,6,8/19/2023,28.35,48,47.2,307,11,8/31/2023,26.12,9/7/2023,33.71,9/14/2023,35.51,9/21/2023,37.7,9/28/2023,39.9,10/13/2023,45.8,10/27/2023,50.05,11/10/2023,56.54,11/24/2023,56.82,500.5,12/10/2023,62.8,62.7,59.7,12/21/2023,67.8,66.6,62.3,1/7/2024,67.4,1/20/2024,64.9,66,62.4,2/27/2024,62,66.4,62.4,3/17/2024,75,67.8,64.9,4/14/2024,94.2,73.1,69.5,5/16/2024,111.5,80.1,77.2,6/16/2024,134.7,84,81,103,97,28.47,0.293505155,147,141,39.05,0.276950355,4,11,4:00,46,2/27/2024,NA,Cold Dormancy,Dormancy
12.5,GT2023_N12,389,254,GWA,8/14/2023,Bottom,35.18,40.4,Hatched,GT2023_N12.05,8/17/2023,8/18/2023,8/19/2023,6,8/19/2023,28.35,48,47.2,307,11,8/31/2023,26.12,9/7/2023,33.71,9/14/2023,35.51,9/21/2023,37.7,9/28/2023,39.9,10/13/2023,45.8,10/27/2023,50.05,11/10/2023,56.54,11/24/2023,56.82,500.5,12/10/2023,62.8,62.7,59.7,12/21/2023,67.8,66.6,62.3,1/7/2024,67.4,1/20/2024,64.9,66,62.4,2/27/2024,62,66.4,62.4,3/17/2024,75,67.8,64.9,4/14/2024,94.2,73.1,69.5,5/16/2024,111.5,80.1,77.2,6/16/2024,134.7,84,81,103,97,28.47,0.293505155,147,141,39.05,0.276950355,4,11,2:57,103,3/19/2024,75,Cold Dormancy,3 weeks-Post
12.5,GT2023_N12,389,254,GWA,8/14/2023,Bottom,35.18,40.4,Hatched,GT2023_N12.05,8/17/2023,8/18/2023,8/19/2023,6,8/19/2023,28.35,48,47.2,307,11,8/31/2023,26.12,9/7/2023,33.71,9/14/2023,35.51,9/21/2023,37.7,9/28/2023,39.9,10/13/2023,45.8,10/27/2023,50.05,11/10/2023,56.54,11/24/2023,56.82,500.5,12/10/2023,62.8,62.7,59.7,12/21/2023,67.8,66.6,62.3,1/7/2024,67.4,1/20/2024,64.9,66,62.4,2/27/2024,62,66.4,62.4,3/17/2024,75,67.8,64.9,4/14/2024,94.2,73.1,69.5,5/16/2024,111.5,80.1,77.2,6/16/2024,134.7,84,81,103,97,28.47,0.293505155,147,141,39.05,0.276950355,4,11,2,216,6/10/2024,111.5,Cold Dormancy,3 months-Post
12.6,GT2023_N12,389,254,GWA,8/14/2023,Bottom,36.91,43.7,Hatched,GT2023_N12.06,8/16/2023,8/16/2023,8/18/2023,5,8/18/2023,28.7,45.6,46.5,303,10,8/31/2023,29.27,9/7/2023,33.28,9/14/2023,35.9,9/21/2023,36.26,9/28/2023,37.77,10/13/2023,42.23,10/27/2023,45.25,11/10/2023,45.28,11/24/2023,50.81,452.5,12/10/2023,57.4,57.6,56.5,12/21/2023,63.7,63.4,61.4,1/7/2024,75.9,1/20/2024,90,72,69.3,2/17/2024,108.5,77.7,75.6,3/17/2024,123.9,82.7,81.1,4/14/2024,142.7,85.5,85.6,5/16/2024,166.2,86.5,86.9,6/16/2024,192,91.9,93.4,103,98,22.11,0.225612245,147,142,47.2,0.332394366,4,10,4:34,147,11/5/2023,NA,Constant Growth,Pre-Hibernation
12.6,GT2023_N12,389,254,GWA,8/14/2023,Bottom,36.91,43.7,Hatched,GT2023_N12.06,8/16/2023,8/16/2023,8/18/2023,5,8/18/2023,28.7,45.6,46.5,303,10,8/31/2023,29.27,9/7/2023,33.28,9/14/2023,35.9,9/21/2023,36.26,9/28/2023,37.77,10/13/2023,42.23,10/27/2023,45.25,11/10/2023,45.28,11/24/2023,50.81,452.5,12/10/2023,57.4,57.6,56.5,12/21/2023,63.7,63.4,61.4,1/7/2024,75.9,1/20/2024,90,72,69.3,2/17/2024,108.5,77.7,75.6,3/17/2024,123.9,82.7,81.1,4/14/2024,142.7,85.5,85.6,5/16/2024,166.2,86.5,86.9,6/16/2024,192,91.9,93.4,103,98,22.11,0.225612245,147,142,47.2,0.332394366,3,10,2:55,116,2/28/2024,NA,Constant Growth,Dormancy
12.6,GT2023_N12,389,254,GWA,8/14/2023,Bottom,36.91,43.7,Hatched,GT2023_N12.06,8/16/2023,8/16/2023,8/18/2023,5,8/18/2023,28.7,45.6,46.5,303,10,8/31/2023,29.27,9/7/2023,33.28,9/14/2023,35.9,9/21/2023,36.26,9/28/2023,37.77,10/13/2023,42.23,10/27/2023,45.25,11/10/2023,45.28,11/24/2023,50.81,452.5,12/10/2023,57.4,57.6,56.5,12/21/2023,63.7,63.4,61.4,1/7/2024,75.9,1/20/2024,90,72,69.3,2/17/2024,108.5,77.7,75.6,3/17/2024,123.9,82.7,81.1,4/14/2024,142.7,85.5,85.6,5/16/2024,166.2,86.5,86.9,6/16/2024,192,91.9,93.4,103,98,22.11,0.225612245,147,142,47.2,0.332394366,3,10,2:31,109,3/19/2024,123.9,Constant Growth,3 weeks-Post
12.6,GT2023_N12,389,254,GWA,8/14/2023,Bottom,36.91,43.7,Hatched,GT2023_N12.06,8/16/2023,8/16/2023,8/18/2023,5,8/18/2023,28.7,45.6,46.5,303,10,8/31/2023,29.27,9/7/2023,33.28,9/14/2023,35.9,9/21/2023,36.26,9/28/2023,37.77,10/13/2023,42.23,10/27/2023,45.25,11/10/2023,45.28,11/24/2023,50.81,452.5,12/10/2023,57.4,57.6,56.5,12/21/2023,63.7,63.4,61.4,1/7/2024,75.9,1/20/2024,90,72,69.3,2/17/2024,108.5,77.7,75.6,3/17/2024,123.9,82.7,81.1,4/14/2024,142.7,85.5,85.6,5/16/2024,166.2,86.5,86.9,6/16/2024,192,91.9,93.4,103,98,22.11,0.225612245,147,142,47.2,0.332394366,3,10,2,107,6/10/2024,166.2,Constant Growth,3 months-Post
13.1,GT2023_N13,,unk,Ray's site,8/14/2023,Top/same level,41.23,44.5,Hatched,GT2023_N13.01,8/22/2023,8/25/2023,8/27/2023,14,8/27/2023,32.35,50.3,50.8,333,1,8/28/2023,31.9,9/4/2023,35.28,9/11/2023,36.8,9/18/2023,43.02,9/25/2023,47.79,10/13/2023,55.47,10/27/2023,63.49,11/10/2023,70.95,11/24/2023,77.88,634.9,12/10/2023,94.24,71.4,69.3,12/21/2023,96.8,76.6,74.2,1/7/2024,97.1,1/20/2024,93.2,76.5,73.9,2/27/2024,91.6,76.4,74.3,3/17/2024,103.8,79.2,75.8,4/14/2024,133.5,84.7,82.8,5/16/2024,170,88.6,86.6,6/16/2024,211.6,98.3,97.4,103,89,45.53,0.511573034,147,133,64.75,0.486842105,1,1,5:24,94,11/1/2023,NA,Cold Dormancy,Pre-Hibernation
13.1,GT2023_N13,,unk,Ray's site,8/14/2023,Top/same level,41.23,44.5,Hatched,GT2023_N13.01,8/22/2023,8/25/2023,8/27/2023,14,8/27/2023,32.35,50.3,50.8,333,1,8/28/2023,31.9,9/4/2023,35.28,9/11/2023,36.8,9/18/2023,43.02,9/25/2023,47.79,10/13/2023,55.47,10/27/2023,63.49,11/10/2023,70.95,11/24/2023,77.88,634.9,12/10/2023,94.24,71.4,69.3,12/21/2023,96.8,76.6,74.2,1/7/2024,97.1,1/20/2024,93.2,76.5,73.9,2/27/2024,91.6,76.4,74.3,3/17/2024,103.8,79.2,75.8,4/14/2024,133.5,84.7,82.8,5/16/2024,170,88.6,86.6,6/16/2024,211.6,98.3,97.4,103,89,45.53,0.511573034,147,133,64.75,0.486842105,1,1,1:52,27,2/27/2024,NA,Cold Dormancy,Dormancy
13.1,GT2023_N13,,unk,Ray's site,8/14/2023,Top/same level,41.23,44.5,Hatched,GT2023_N13.01,8/22/2023,8/25/2023,8/27/2023,14,8/27/2023,32.35,50.3,50.8,333,1,8/28/2023,31.9,9/4/2023,35.28,9/11/2023,36.8,9/18/2023,43.02,9/25/2023,47.79,10/13/2023,55.47,10/27/2023,63.49,11/10/2023,70.95,11/24/2023,77.88,634.9,12/10/2023,94.24,71.4,69.3,12/21/2023,96.8,76.6,74.2,1/7/2024,97.1,1/20/2024,93.2,76.5,73.9,2/27/2024,91.6,76.4,74.3,3/17/2024,103.8,79.2,75.8,4/14/2024,133.5,84.7,82.8,5/16/2024,170,88.6,86.6,6/16/2024,211.6,98.3,97.4,103,89,45.53,0.511573034,147,133,64.75,0.486842105,1,1,3:22,93,3/19/2024,103.8,Cold Dormancy,3 weeks-Post
13.1,GT2023_N13,,unk,Ray's site,8/14/2023,Top/same level,41.23,44.5,Hatched,GT2023_N13.01,8/22/2023,8/25/2023,8/27/2023,14,8/27/2023,32.35,50.3,50.8,333,1,8/28/2023,31.9,9/4/2023,35.28,9/11/2023,36.8,9/18/2023,43.02,9/25/2023,47.79,10/13/2023,55.47,10/27/2023,63.49,11/10/2023,70.95,11/24/2023,77.88,634.9,12/10/2023,94.24,71.4,69.3,12/21/2023,96.8,76.6,74.2,1/7/2024,97.1,1/20/2024,93.2,76.5,73.9,2/27/2024,91.6,76.4,74.3,3/17/2024,103.8,79.2,75.8,4/14/2024,133.5,84.7,82.8,5/16/2024,170,88.6,86.6,6/16/2024,211.6,98.3,97.4,103,89,45.53,0.511573034,147,133,64.75,0.486842105,1,1,2,123,6/10/2024,170,Cold Dormancy,3 months-Post
13.2,GT2023_N13,,unk,Ray's site,8/14/2023,Top/same level,38.32,41,Hatched,GT2023_N13.02,8/22/2023,8/24/2023,8/25/2023,12,8/25/2023,30.02,36.7,34.8,325,2,8/28/2023,29.13,9/4/2023,30.68,9/11/2023,33.8,9/18/2023,35.89,9/25/2023,37.27,10/13/2023,44.95,10/27/2023,52.1,11/10/2023,55.57,11/24/2023,67.83,521,12/10/2023,80,66.5,62.3,12/21/2023,83.9,73.2,69.4,1/7/2024,97.9,1/20/2024,110,79.9,76.5,2/17/2024,125.6,85,80.1,3/17/2024,148.1,90.2,85.8,4/14/2024,173.2,93.7,90.8,5/16/2024,208.6,100.2,96.9,6/16/2024,254.4,104.1,102.6,103,91,37.81,0.415494505,147,135,67.88,0.502814815,1,2,2:35,154,11/5/2023,NA,Constant Growth,Pre-Hibernation
13.2,GT2023_N13,,unk,Ray's site,8/14/2023,Top/same level,38.32,41,Hatched,GT2023_N13.02,8/22/2023,8/24/2023,8/25/2023,12,8/25/2023,30.02,36.7,34.8,325,2,8/28/2023,29.13,9/4/2023,30.68,9/11/2023,33.8,9/18/2023,35.89,9/25/2023,37.27,10/13/2023,44.95,10/27/2023,52.1,11/10/2023,55.57,11/24/2023,67.83,521,12/10/2023,80,66.5,62.3,12/21/2023,83.9,73.2,69.4,1/7/2024,97.9,1/20/2024,110,79.9,76.5,2/17/2024,125.6,85,80.1,3/17/2024,148.1,90.2,85.8,4/14/2024,173.2,93.7,90.8,5/16/2024,208.6,100.2,96.9,6/16/2024,254.4,104.1,102.6,103,91,37.81,0.415494505,147,135,67.88,0.502814815,3,2,8:12,93,2/28/2024,NA,Constant Growth,Dormancy
13.2,GT2023_N13,,unk,Ray's site,8/14/2023,Top/same level,38.32,41,Hatched,GT2023_N13.02,8/22/2023,8/24/2023,8/25/2023,12,8/25/2023,30.02,36.7,34.8,325,2,8/28/2023,29.13,9/4/2023,30.68,9/11/2023,33.8,9/18/2023,35.89,9/25/2023,37.27,10/13/2023,44.95,10/27/2023,52.1,11/10/2023,55.57,11/24/2023,67.83,521,12/10/2023,80,66.5,62.3,12/21/2023,83.9,73.2,69.4,1/7/2024,97.9,1/20/2024,110,79.9,76.5,2/17/2024,125.6,85,80.1,3/17/2024,148.1,90.2,85.8,4/14/2024,173.2,93.7,90.8,5/16/2024,208.6,100.2,96.9,6/16/2024,254.4,104.1,102.6,103,91,37.81,0.415494505,147,135,67.88,0.502814815,3,2,2:22,94,3/19/2024,148.1,Constant Growth,3 weeks-Post
13.2,GT2023_N13,,unk,Ray's site,8/14/2023,Top/same level,38.32,41,Hatched,GT2023_N13.02,8/22/2023,8/24/2023,8/25/2023,12,8/25/2023,30.02,36.7,34.8,325,2,8/28/2023,29.13,9/4/2023,30.68,9/11/2023,33.8,9/18/2023,35.89,9/25/2023,37.27,10/13/2023,44.95,10/27/2023,52.1,11/10/2023,55.57,11/24/2023,67.83,521,12/10/2023,80,66.5,62.3,12/21/2023,83.9,73.2,69.4,1/7/2024,97.9,1/20/2024,110,79.9,76.5,2/17/2024,125.6,85,80.1,3/17/2024,148.1,90.2,85.8,4/14/2024,173.2,93.7,90.8,5/16/2024,208.6,100.2,96.9,6/16/2024,254.4,104.1,102.6,103,91,37.81,0.415494505,147,135,67.88,0.502814815,3,2,3,141,6/10/2024,208.6,Constant Growth,3 months-Post
13.3,GT2023_N13,,unk,Ray's site,8/14/2023,Top/same level,41.82,44,Hatched,GT2023_N13.03,8/23/2023,8/25/2023,8/27/2023,14,8/27/2023,32.3,50.2,51,331,3,8/28/2023,32.8,9/4/2023,34.93,9/11/2023,38.4,9/18/2023,39.36,9/25/2023,40.88,10/13/2023,44.84,10/27/2023,49.44,11/10/2023,51.47,11/24/2023,58.99,494.4,12/10/2023,69.17,64.5,62.5,12/21/2023,72.2,69.3,66.6,1/7/2024,69,1/20/2024,68.4,69.2,66.8,2/27/2024,64.3,68.7,66.9,3/17/2024,75.7,71.5,68.8,4/14/2024,101.6,78.1,75.9,5/16/2024,131,78.9,77.5,6/16/2024,150.9,88.2,87.5,103,89,26.69,0.29988764,147,133,36.7,0.27593985,1,3,4:40,131,11/5/2023,NA,Cold Dormancy,Pre-Hibernation
13.3,GT2023_N13,,unk,Ray's site,8/14/2023,Top/same level,41.82,44,Hatched,GT2023_N13.03,8/23/2023,8/25/2023,8/27/2023,14,8/27/2023,32.3,50.2,51,331,3,8/28/2023,32.8,9/4/2023,34.93,9/11/2023,38.4,9/18/2023,39.36,9/25/2023,40.88,10/13/2023,44.84,10/27/2023,49.44,11/10/2023,51.47,11/24/2023,58.99,494.4,12/10/2023,69.17,64.5,62.5,12/21/2023,72.2,69.3,66.6,1/7/2024,69,1/20/2024,68.4,69.2,66.8,2/27/2024,64.3,68.7,66.9,3/17/2024,75.7,71.5,68.8,4/14/2024,101.6,78.1,75.9,5/16/2024,131,78.9,77.5,6/16/2024,150.9,88.2,87.5,103,89,26.69,0.29988764,147,133,36.7,0.27593985,1,3,4:52,47,2/27/2024,NA,Cold Dormancy,Dormancy
13.3,GT2023_N13,,unk,Ray's site,8/14/2023,Top/same level,41.82,44,Hatched,GT2023_N13.03,8/23/2023,8/25/2023,8/27/2023,14,8/27/2023,32.3,50.2,51,331,3,8/28/2023,32.8,9/4/2023,34.93,9/11/2023,38.4,9/18/2023,39.36,9/25/2023,40.88,10/13/2023,44.84,10/27/2023,49.44,11/10/2023,51.47,11/24/2023,58.99,494.4,12/10/2023,69.17,64.5,62.5,12/21/2023,72.2,69.3,66.6,1/7/2024,69,1/20/2024,68.4,69.2,66.8,2/27/2024,64.3,68.7,66.9,3/17/2024,75.7,71.5,68.8,4/14/2024,101.6,78.1,75.9,5/16/2024,131,78.9,77.5,6/16/2024,150.9,88.2,87.5,103,89,26.69,0.29988764,147,133,36.7,0.27593985,1,3,2:00,87,3/19/2024,75.7,Cold Dormancy,3 weeks-Post
13.3,GT2023_N13,,unk,Ray's site,8/14/2023,Top/same level,41.82,44,Hatched,GT2023_N13.03,8/23/2023,8/25/2023,8/27/2023,14,8/27/2023,32.3,50.2,51,331,3,8/28/2023,32.8,9/4/2023,34.93,9/11/2023,38.4,9/18/2023,39.36,9/25/2023,40.88,10/13/2023,44.84,10/27/2023,49.44,11/10/2023,51.47,11/24/2023,58.99,494.4,12/10/2023,69.17,64.5,62.5,12/21/2023,72.2,69.3,66.6,1/7/2024,69,1/20/2024,68.4,69.2,66.8,2/27/2024,64.3,68.7,66.9,3/17/2024,75.7,71.5,68.8,4/14/2024,101.6,78.1,75.9,5/16/2024,131,78.9,77.5,6/16/2024,150.9,88.2,87.5,103,89,26.69,0.29988764,147,133,36.7,0.27593985,1,3,3,73,6/10/2024,131,Cold Dormancy,3 months-Post
