Clutch_ID,Nest_ID,Burrow_ID,Mother_ID,Location,Collection_date,Location_InNest,Egg_mass,Egg_diameter,Status,Tortoise_ID,Date_Pip,Date_Emerge,Date_Functional,ExpDay_measure1,Measure_1_Date,Mass_1,Carapace_1,Plastron_1,Notch,Tank,Measure_2_Date,Mass_2,Measure_3,Mass_3,Measure_4,Mass_4,Measure_5,Mass_5,Measure_6,Mass_6,Measure_7,Mass_7,Measure_8,Mass_8,Measure_9,Mass_9,Measure_10,Mass_10,Max allowed blood volume (uL),Measure_11,Mass_11,Carapace_10,Plastron_10,Measure_12,Mass_12,Carapace_12,Plastron_12,Measure_13,Mass_13,Measure_14,Mass_14,Carapace_14,Plastron_14,Measure_15,Mass_15,Carapace_15,Plastron_15,Measure_16,Mass_16,Carapace_16,Plastron_16,Measure_17,Mass_17,Carapace_17,Plastron_17,Measure_18,Mass_18,Carapace_18,Plastron_18,Measure_19,Mass_19,Carapace_19,Plastron_19,ExpDay_measure10,DaysBTW1-10,Mass_m10-m1,Growth_rate1-10,ExpDay_measure13,DaysBTW1-13,Mass_m13-m1,Growth_rate1-13
6.2,GT2023_N06,848,unk,GWA,8/14/23,Top/same level,41.53,41.6,Hatched,GT2023_N06.02,8/17/23,8/17/23,8/19/23,6,8/19/23,32.62,48.1,48.2,306,5,8/29/23,31.83,9/5/23,40.16,9/12/23,42.86,9/19/23,43.57,9/26/23,45.52,10/13/23,49.59,10/27/23,55.27,11/10/23,58.7,11/24/23,66.26,552.7,12/10/23,76.1,63.9,61.5,12/21/23,82.9,69.6,67.2,1/7/24,99.5,1/20/24,113.1,78.6,76.2,2/17/24,129.3,84.2,81.6,3/17/24,155,87.2,85.7,4/14/24,175.2,91.3,91,5/16/24,205.8,95.8,94.9,6/16/24,235.1,99.9,98.9,103,97,33.64,0.346804124,147,141,66.88,0.474326241
6.3,GT2023_N06,848,unk,GWA,8/14/23,Top/same level,42.18,42.6,Hatched,GT2023_N06.03,8/18/23,8/18/23,8/22/23,9,8/22/23,31.69,49.2,47.7,317,6,8/29/23,34.92,9/5/23,39.4,9/12/23,40.26,9/19/23,44.55,9/26/23,46.33,10/13/23,52.16,10/27/23,57.46,11/10/23,63.4,11/24/23,70.76,574.6,12/10/23,79.74,66,63.3,12/21/23,82.9,71.3,67.6,1/7/24,84.8,1/20/24,83.1,71.6,67.6,2/27/24,82.9,71.2,67.7,3/17/24,92.5,73.8,70.6,4/14/24,120,81.1,77.6,5/16/24,153,82.6,79.9,6/16/24,187.2,92.2,89.5,103,94,39.07,0.415638298,147,138,53.11,0.384855072
6.4,GT2023_N06,848,unk,GWA,8/14/23,Middle,45.27,42.2,Hatched,GT2023_N06.04,8/18/23,8/18/23,8/20/23,7,8/20/23,34.87,47.9,48.8,309,7,8/30/23,34.84,9/6/23,41.96,9/13/23,44.27,9/20/23,46.09,9/27/23,49.74,10/13/23,55.72,10/27/23,59.6,11/10/23,63.95,11/24/23,69.07,596,12/10/23,76.65,64.3,61.6,12/21/23,82.3,67.3,65.4,1/7/24,81.2,1/20/24,78.8,68.2,66,2/27/24,77.8,68.7,65.8,3/17/24,91,70.8,69,4/14/24,113.3,76.4,75.8,5/16/24,142.7,82,81.9,6/16/24,166.1,86.1,86.6,103,96,34.2,0.35625,147,140,46.33,0.330928571
6.5,GT2023_N06,848,unk,GWA,8/14/23,Bottom,43.12,43.1,Hatched,GT2023_N06.05,8/16/23,8/16/23,8/18/23,5,8/18/23,34,48.9,48.2,301,8,8/30/23,38.51,9/6/23,39.82,9/13/23,42.68,9/20/23,43.24,9/27/23,46.88,10/13/23,50.65,10/27/23,55.26,11/10/23,43.82,11/24/23,63.47,552.6,12/10/23,71.9,62.5,59.8,12/21/23,79.5,68.5,65.4,1/7/24,92.6,1/20/24,104.7,76.2,71.9,2/17/24,130,82.6,79.2,3/17/24,168.3,89.7,86.3,4/14/24,203.7,94.1,91.5,5/16/24,232.4,94.1,92.9,6/16/24,258.9,103.1,101.3,103,98,29.47,0.300714286,147,142,58.6,0.412676056
7.1,GT2023_N07,855,237?,GWA,8/14/23,Top,38.09,42.1,Hatched,GT2023_N07.01,8/20/23,8/21/23,8/23/23,10,8/23/23,24.97,43.4,44.7,319,9,8/30/23,26.19,9/6/23,32.35,9/13/23,35.33,9/20/23,38.35,9/27/23,41,10/13/23,44.97,10/27/23,50.34,11/10/23,52.92,11/24/23,56.81,503.4,12/10/23,62.14,61.4,59.3,12/21/23,61.7,63.9,61.8,1/7/24,62.6,1/20/24,60,64.2,62.5,2/27/24,56.1,64.3,61.6,3/17/24,67.6,65.7,64,4/14/24,88.5,71.2,69.4,5/16/24,105.6,75.8,75.2,6/16/24,120.8,79.1,78.4,103,93,31.84,0.342365591,147,137,37.63,0.274671533
7.2,GT2023_N07,855,237?,GWA,8/14/23,Top,40.37,42.4,Hatched,GT2023_N07.02,8/28/23,8/30/23,8/31/23,18,8/31/23,29.07,48.8,49.8,350,10,8/31/23,29.07,9/7/23,30.4,9/14/23,31.3,9/21/23,35.91,9/28/23,39.17,10/13/23,42.95,10/27/23,44.96,11/10/23,47.91,11/24/23,51.7,449.6,12/10/23,58.5,59.5,57.5,12/21/23,63.8,64.2,61.7,1/7/24,73.6,1/20/24,84.7,72.9,69.4,2/17/24,107,77.8,76,3/17/24,123.7,83.8,81,4/14/24,141.1,87.2,85.3,5/16/24,150.9,89.8,86.9,6/16/24,184.2,91.4,90.9,103,85,22.63,0.266235294,147,129,44.53,0.345193798
7.3,GT2023_N07,855,237?,GWA,8/14/23,Bottom,40.29,43.9,Hatched,GT2023_N07.03,8/23/23,8/24/23,8/26/23,13,8/26/23,27.79,46.6,44.8,329,11,8/31/23,28.42,9/7/23,31.84,9/14/23,32.78,9/21/23,36.05,9/28/23,37.45,10/13/23,44.14,10/27/23,48.36,11/10/23,52.42,11/24/23,55.67,483.6,12/10/23,63.8,61.2,57.7,12/21/23,64.8,64.3,61.2,1/7/24,66.2,1/20/24,61.7,64,60.9,2/27/24,61.1,64.2,61.7,3/17/24,68.7,66.2,62.8,4/14/24,90,73.1,69.1,5/16/24,120,79.7,77.3,6/16/24,148.2,84.9,83.6,103,90,27.88,0.309777778,147,134,38.41,0.286641791
7.4,GT2023_N07,855,237?,GWA,8/14/23,Bottom,39.87,43.7,Hatched,GT2023_N07.04,8/22/23,8/24/23,8/24/23,11,8/24/23,28.92,47.1,46.9,324,2,8/28/23,27.71,9/4/23,32.32,9/11/23,36,9/18/23,37.2,9/25/23,39.75,10/13/23,46.32,10/27/23,50.18,11/10/23,55.2,11/24/23,58.04,501.8,12/10/23,63.3,61.9,60,12/21/23,67.3,65.5,63.4,1/7/24,71.6,1/20/24,81.4,70.4,68,2/17/24,97.2,73.4,72.2,3/17/24,111.5,76.5,75.7,4/14/24,119.1,79.3,78.4,5/16/24,134.7,81.9,81.4,6/16/24,146.6,83.6,83.4,103,92,29.12,0.316521739,147,136,42.68,0.313823529
7.5,GT2023_N07,855,237?,GWA,8/14/23,Bottom,38.34,41.4,Hatched,GT2023_N07.05,8/23/23,8/25/23,8/26/23,13,8/26/23,28.6,46.8,47.6,328,1,8/28/23,27.94,9/4/23,29.72,9/11/23,35.5,9/18/23,40.05,9/25/23,43.57,10/13/23,48.39,10/27/23,56.63,11/10/23,56.59,11/24/23,63.95,566.3,12/10/23,77.57,64.7,63.3,12/21/23,78,69.5,67.7,1/7/24,80,1/20/24,72.7,69.4,68.1,2/27/24,74.9,69.3,67.6,3/17/24,81.1,70.5,69,4/14/24,108,76.1,75.2,5/16/24,130,77.8,78.2,6/16/24,151.5,84.1,86.2,103,90,35.35,0.392777778,147,134,51.4,0.38358209
8.1,GT2023_N08,363,258,GWA,8/14/23,Top,51.71,47,Hatched,GT2023_N08.01,8/19/23,8/20/23,8/22/23,9,8/22/23,38.33,53.6,53.7,316,2,8/28/23,43.3,9/4/23,46.89,9/11/23,50.8,9/18/23,53,9/25/23,53.32,10/13/23,61.49,10/27/23,64.2,11/10/23,67.7,11/24/23,74.57,642,12/10/23,80,67.9,66.7,12/21/23,88.3,72.4,71.3,1/7/24,96.5,1/20/24,104.8,77.6,76.1,2/17/24,121,80.1,79.9,3/17/24,139.4,84.1,82.3,4/14/24,157.8,89.2,88.1,5/16/24,183.1,92.2,92.7,6/16/24,210.9,95,94.3,103,94,36.24,0.385531915,147,138,58.17,0.421521739
