,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,D06,FAM,0,Unkn-12,10.3_B,,22.2265241201642,22.2539738577441,0.0388197911691399,718562.110405618,5.85646431323658,705412.771410168,18595.973543607,62,
,D07,FAM,0,Unkn-20,2.4_C,,22.1862280660823,22.1076583337159,0.11111438110459,738498.93012934,5.86834987048174,780086.021727071,58813.0289571638,62,
,D08,FAM,0,Unkn-20,2.4_C,,22.0290886013495,22.1076583337159,0.11111438110459,821673.113324802,5.9146990762815,780086.021727071,58813.0289571638,62,
,D09,FAM,0,Unkn-28,10.1_D,,21.9499144689242,21.9775045264842,0.039018233588003,867065.588367943,5.93805195051992,851119.108154412,22551.7285900897,62,
,D10,FAM,0,Unkn-28,10.1_D,,22.0050945840442,21.9775045264842,0.039018233588003,835172.627940881,5.92177625226615,851119.108154412,22551.7285900897,62,
,D11,FAM,0,Unkn-36,12.2_C,,21.7845720911528,21.8693550075144,0.11990115017622,970109.267812588,5.98682065358115,917345.661932504,74619.0070353232,62,
,D12,FAM,0,Unkn-36,12.2_C,,21.9541379238761,21.8693550075144,0.11990115017622,864582.056052421,5.93680621773674,917345.661932504,74619.0070353232,62,
,E01,FAM,0,Std-05,STD5,,30.43591155784,30.3061365166557,0.183529623300385,3000,3.47712125471966,3000,0,62,
,E02,FAM,0,Std-05,STD5,,30.1763614754714,30.3061365166557,0.183529623300385,3000,3.47712125471966,3000,0,62,
,E03,FAM,0,Unkn-05,2.3_A,,21.7294006085781,21.7014956248007,0.0394636065158837,1007149.1849618,6.00309380561509,1026603.01119607,27511.8649005597,62,
,E04,FAM,0,Unkn-05,2.3_A,,21.6735906410232,21.7014956248007,0.0394636065158837,1046056.83743034,6.01955528253484,1026603.01119607,27511.8649005597,62,
,E05,FAM,0,Unkn-13,9.4_A,,21.5427733609025,21.5276187824104,0.0214318104356249,1143248.40924822,6.05814060576214,1155137.1205955,16813.1768264688,62,
,E06,FAM,0,Unkn-13,9.4_A,,21.5124642039182,21.5276187824104,0.0214318104356249,1167025.83194279,6.06708046919537,1155137.1205955,16813.1768264688,62,
,E07,FAM,0,Unkn-21,6.2_B,,21.4209535963485,21.4681755951273,0.0667819911153002,1241858.34225551,6.09407205905678,1203280.74423309,54556.9623270848,62,
,E08,FAM,0,Unkn-21,6.2_B,,21.5153975939061,21.4681755951273,0.0667819911153002,1164703.14621067,6.06621524863179,1203280.74423309,54556.9623270848,62,
,E09,FAM,0,Unkn-29,10.3_D,,21.6700061858179,21.7050181201766,0.0495143524149695,1048606.48346171,6.02061253859889,1024255.56696745,34437.396362395,62,
,E10,FAM,0,Unkn-29,10.3_D,,21.7400300545353,21.7050181201766,0.0495143524149695,999904.650473189,5.99995858825233,1024255.56696745,34437.396362395,62,
,E11,FAM,0,Unkn-37,3.3_D,,22.1688298057304,22.2755238016375,0.150888096035536,747276.954817934,5.87348158930859,696868.397775436,71288.4650291585,62,
,E12,FAM,0,Unkn-37,3.3_D,,22.3822177975445,22.2755238016375,0.150888096035536,646459.840732938,5.81054155088725,696868.397775436,71288.4650291585,62,
,F01,FAM,0,Std-06,STD6,,33.2850804639846,33.7129296535315,0.60507012650762,300,2.47712125471966,300,0,62,
,F02,FAM,0,Std-06,STD6,,34.1407788430785,33.7129296535315,0.60507012650762,300,2.47712125471966,300,0,62,
,F03,FAM,0,Unkn-06,11.4_C,,22.4742601004573,22.4347919986847,0.055816324808026,607285.811352457,5.7833931343692,624008.474612203,23649.4171809309,62,
,F04,FAM,0,Unkn-06,11.4_C,,22.395323896912,22.4347919986847,0.055816324808026,640731.137871948,5.80667583009045,624008.474612203,23649.4171809309,62,
,F05,FAM,0,Unkn-14,2.4_A,,22.1015971455422,22.0584726384819,0.0609872627552252,782189.994566395,5.89331225634585,805783.421757237,33366.1447161504,62,
,F06,FAM,0,Unkn-14,2.4_A,,22.0153481314217,22.0584726384819,0.0609872627552252,829376.848948078,5.91875190839184,805783.421757237,33366.1447161504,62,
,F07,FAM,0,Unkn-22,3.4_A,,20.9055468597689,20.8690606162646,0.0515993404039053,1762358.65528712,6.24609429576818,1807130.23733566,63316.5785419352,62,
,F08,FAM,0,Unkn-22,3.4_A,,20.8325743727602,20.8690606162646,0.0515993404039053,1851901.81938419,6.26761795835567,1807130.23733566,63316.5785419352,62,
,F09,FAM,0,Unkn-30,12.4_D,,21.6595362375487,21.6575744444674,0.00277439438213641,1056089.46703454,6.02370071118412,1057498.44887794,1992.60123207709,62,
,F10,FAM,0,Unkn-30,12.4_D,,21.6556126513861,21.6575744444674,0.00277439438213641,1058907.43072135,6.02485799591098,1057498.44887794,1992.60123207709,62,
,F11,FAM,0,Unkn-38,7.1_C,,21.0004407183288,20.9472185980469,0.0752674443208547,1652360.46830864,6.21810479620482,1714299.21717537,87594.6186837521,62,
,F12,FAM,0,Unkn-38,7.1_C,,20.8939964777651,20.9472185980469,0.0752674443208547,1776237.9660421,6.24950114861366,1714299.21717537,87594.6186837521,62,
,G03,FAM,0,Unkn-07,9.2_A,,21.9734190065282,21.9335350327872,0.0564044565858049,853334.195615864,5.93111914944104,877086.590646854,33590.9591916688,62,
,G04,FAM,0,Unkn-07,9.2_A,,21.8936510590463,21.9335350327872,0.0564044565858049,900838.985677843,5.95464717290957,877086.590646854,33590.9591916688,62,
,G05,FAM,0,Unkn-15,11.3_D,,22.8362917709963,22.8345324285772,0.00248808590987293,474908.313307544,5.67660977200778,475476.448763996,803.464867778913,62,
,G06,FAM,0,Unkn-15,11.3_D,,22.8327730861582,22.8345324285772,0.00248808590987293,476044.584220448,5.67764762871667,475476.448763996,803.464867778913,62,
,G07,FAM,0,Unkn-23,12.5_C,,21.9987160494732,21.9951071680459,0.00510372905942984,838798.486967491,5.92365763840959,840859.438901775,2914.62617686359,62,
,G08,FAM,0,Unkn-23,12.5_C,,21.9914982866186,21.9951071680459,0.00510372905942984,842920.390836059,5.92578655985225,840859.438901775,2914.62617686359,62,
,G09,FAM,0,Unkn-31,12.6_B,,22.0304079918375,21.9972390108761,0.0469080227257181,820937.159486494,5.91430991432679,839853.402119923,26751.6068813352,62,
,G10,FAM,0,Unkn-31,12.6_B,,21.9640700299147,21.9972390108761,0.0469080227257181,858769.644753352,5.93387668486865,839853.402119923,26751.6068813352,62,
,G11,FAM,0,Unkn-39,6.4_D,,22.6014304276964,22.6130390557892,0.0164170792894456,557036.304870327,5.74588350126175,552679.003671855,6162.15445022427,62,
,G12,FAM,0,Unkn-39,6.4_D,,22.6246476838821,22.6130390557892,0.0164170792894456,548321.702473382,5.73903543552037,552679.003671855,6162.15445022427,62,
