Tortoise_ID,mtDNA_change_A_to_B,mtDNA_change_B_to_C,mtDNA_change_C_to_D,Telomeres_change_A_to_B,Telomeres_change_B_to_C,Telomeres_change_C_to_D
7.4,3.1753443084864017,-4.712104958174502,5.334632339657999,618115.6789152599,-2063336.87722687,6509761.88729213
7.5,-2.8066435412715975,7.005710064000098,-4.8759015777845995,298078.71185140964,4319698.755909881,-394081.1791001605
8.1,13.053495958746751,7.0169086321695,-9.222012283636701,-2991428.1507208603,6062764.21394081,-6065597.63721271
9.2,4.010995041899498,-1.4184772882281997,NA,1170912.2816811698,3943221.6645370806,NA
9.3,-5.436554038453501,10.235851130287902,-10.5512034442362,-1779627.96944483,4247227.995986651,-4141976.352954871
9.4,7.385250220314397,-9.825100263198898,2.8291602496964003,11516828.62019331,-8328143.143321679,5942316.76628738
9.5,22.951852685450902,-32.169161819015,-2.609718018927399,3232077.537032021,-9383335.959088681,-572776.91812651
10.3,NA,-7.839153551074499,2.0181161970830015,NA,-870446.4595194701,-428386.5307873599
11.4,NA,-2.6589633697790003,-1.2035990826166998,NA,-659173.4236930697,-1506684.1352744899
13.2,NA,-13.417965450593098,6.744951731529401,NA,-3684613.6989037404,-3480384.8740651095
15.1,NA,-0.6226826073650997,5.979990650661701,NA,-107832.71981327981,1711758.538267
15.5,NA,-10.7593177463397,-0.2431119298784985,NA,-388480.62451107986,1146926.6686358098
17.5,NA,-5.833765639419802,4.413759170586399,NA,-925031.7896970995,-2174043.72975535
2.2,NA,-0.04878156162479996,1.684501398380899,NA,-218070.53920115996,3444919.1358753103
5.2,NA,1.6364320144002988,-0.06952048078920114,NA,2033902.6603626003,-3300673.4832142205
5.4,NA,6.888558969807599,0.33005837871730037,NA,5830525.468693261,1855190.3424810488
6.3,NA,-1.1907118413559985,2.733316633102998,NA,104025.06381087005,2844803.09832576
7.3,NA,2.6378697461873983,-2.840892465254999,NA,-1938281.5914658005,238495.03723441018
8.2,NA,-2.2378921211717007,-0.20379547493729788,NA,-1226917.0756602203,-250433.4029495297
9.1,NA,-4.860674482980201,5.761814262563,NA,2074584.74788454,7566850.84913218
9.6,NA,NA,0.9087163205466986,NA,NA,1055304.3922652202
