Tortoise_ID,Treatment,Nest_ID,Tank,Growth_rate_During,Growth_rate_3_Weeks_Post,Growth_rate_3_Months_Post,Time_Interval,Telomere_Change,Growth_Rate,z_telo,z_growth,outlier
GT2023_N09.02,Constant-Warmth,GT2023_N09,5,0.594736842,0.589473684,0.474725275,Early_Spring_2024,3943221.665,0.589473684,1.0245873306628248,0.6900242853854152,FALSE
GT2023_N09.03,Cold-Dormancy,GT2023_N09,6,0.089473684,0.984210526,0.912087912,Winter_2023,-1779627.969,0.089473684,0.8302204622570294,0.789275452933319,FALSE
GT2023_N09.03,Cold-Dormancy,GT2023_N09,6,0.089473684,0.984210526,0.912087912,Early_Spring_2024,4247227.996,0.984210526,1.0978126638683303,0.03302832880629937,FALSE
GT2023_N09.03,Cold-Dormancy,GT2023_N09,6,0.089473684,0.984210526,0.912087912,Late_Spring_2024,-4141976.353,0.912087912,1.286634301431078,0.2226432565425961,FALSE
GT2023_N09.04,Constant-Warmth,GT2023_N09,10,0.578105263,1.178947368,0.687912088,Winter_2023,11516828.62,0.578105263,2.6189028003401544,0.5467897477904371,FALSE
GT2023_N09.04,Constant-Warmth,GT2023_N09,10,0.578105263,1.178947368,0.687912088,Early_Spring_2024,-8328143.143,1.178947368,1.9311891954257554,0.38973428504318597,FALSE
GT2023_N09.04,Constant-Warmth,GT2023_N09,10,0.578105263,1.178947368,0.687912088,Late_Spring_2024,5942316.766,0.687912088,1.6724540974238198,0.36248530240573645,FALSE
GT2023_N09.05,Constant-Warmth,GT2023_N09,8,0.731052632,1.752631579,1.373626374,Winter_2023,3232077.537,0.731052632,0.4698243978398692,0.964993699490324,FALSE
GT2023_N09.05,Constant-Warmth,GT2023_N09,8,0.731052632,1.752631579,1.373626374,Early_Spring_2024,-9383335.959,1.752631579,2.185351157426658,1.440570752149697,FALSE
GT2023_N09.05,Constant-Warmth,GT2023_N09,8,0.731052632,1.752631579,1.373626374,Late_Spring_2024,-572776.9181,1.373626374,0.23930490348718164,1.4273197035857434,FALSE
GT2023_N09.06,Cold-Dormancy,GT2023_N09,9,0.097894737,0.552631579,0.595604396,Late_Spring_2024,1055304.392,0.595604396,0.23843175690722881,0.603420590770313,FALSE
GT2023_N10.01,Constant-Warmth,GT2023_N10,10,0.566842105,1.578947368,0.428571429,Winter_2023,-131691.8305,0.566842105,0.40274304881763406,0.5159928977693021,FALSE
GT2023_N10.01,Constant-Warmth,GT2023_N10,10,0.566842105,1.578947368,0.428571429,Early_Spring_2024,6060255.593,1.578947368,1.5345126150318542,1.1224276009528413,FALSE
GT2023_N10.01,Constant-Warmth,GT2023_N10,10,0.566842105,1.578947368,0.428571429,Late_Spring_2024,-4788274.465,0.428571429,1.4762810345092483,1.0393987329877112,FALSE
