Sample,Nest_ID,Treatment,Plate_ID,Time_Point,Tortoise_ID,Tank,SQ.Mean_SCNAG,SQ.Mean_mtDNA,mtDNA.Mean,Cq.Mean_SCNAG,SQ.Mean_Telomeres,Cq.Mean_Telomeres,Telomeres.per.cell
17.4_C,GT2023_N17,Cold-Dormancy,Plate4,C,GT2023_N17.04,9,74840.38852,1399614.729,18.70132901,26.96703404,2.50E+11,17.96678201,3341552.623
17.4_D,GT2023_N17,Cold-Dormancy,Plate3,D,GT2023_N17.04,9,50286.26266,701026.1364,13.94070864,27.15956641,1.69E+11,18.1159563,3366466.843
17.5_B,GT2023_N17,Constant-Warmth,Plate2,B,GT2023_N17.05,10,26954.77288,522403.0679,19.38072601,29.24842235,1.88E+11,18.19018215,6974646.044
17.5_C,GT2023_N17,Constant-Warmth,Plate1,C,GT2023_N17.05,10,32564.05975,441144.027,13.54696037,28.13273097,1.97E+11,18.20420154,6049614.253
17.5_D,GT2023_N17,Constant-Warmth,Plate3,D,GT2023_N17.05,10,50200.68314,901640.3908,17.96071954,27.16160188,1.95E+11,17.91480665,3875570.523
2.2_B,GT2023_N02,Cold-Dormancy,Plate2,B,GT2023_N02.02,3,67392.42696,1094034.182,16.23378518,27.92187659,2.13E+11,18.00594786,3160592.512
2.2_C,GT2023_N02,Cold-Dormancy,Plate5,C,GT2023_N02.02,3,82669.43654,1338005.13,16.18500362,26.83085559,2.43E+11,18.19776686,2942521.973
2.2_D,GT2023_N02,Cold-Dormancy,Plate2,D,GT2023_N02.02,3,13977.48426,249770.7251,17.86950502,30.20580523,89280357555,19.32774295,6387441.108
2.3_A,GT2023_N02,Cold-Dormancy,Plate4,A,GT2023_N02.03,11,60356.64185,1026603.011,17.00894847,27.28523053,2.14E+11,18.20312047,3540741.695
2.3_B,GT2023_N02,Cold-Dormancy,Plate6,B,GT2023_N02.03,11,51350.70637,1071954.382,20.87516331,27.60428705,2.48E+11,17.86556625,4835142.835
2.3_C,GT2023_N02,Cold-Dormancy,Plate1,C,GT2023_N02.03,11,24371.93604,610022.3003,25.02970217,28.55330786,2.35E+11,17.92195641,9642237.679
2.3_D,GT2023_N02,Cold-Dormancy,Plate3,D,GT2023_N02.03,11,50577.50237,668245.2763,13.2123028,27.14997393,2.45E+11,17.57936926,4852677.7
2.4_A,GT2023_N02,Constant-Warmth,Plate4,A,GT2023_N02.04,5,54344.94845,805783.4218,14.82720004,27.44362793,2.33E+11,18.07140156,4289460.221
2.4_B,GT2023_N02,Constant-Warmth,Plate1,B,GT2023_N02.04,5,15723.02683,355171.6909,22.58926953,29.1999208,2.39E+11,17.93173207,15200635.51
2.4_C,GT2023_N02,Constant-Warmth,Plate4,C,GT2023_N02.04,5,35317.71719,780086.0217,22.08766828,28.08069509,2.76E+11,17.81694713,7812178.699
2.4_D,GT2023_N02,Constant-Warmth,Plate5,D,GT2023_N02.04,5,56752.21469,789134.8049,13.90491647,27.38207656,2.48E+11,18.16407278,4377871.448
3.1_A,GT2023_N03,Cold-Dormancy,Plate2,A,GT2023_N03.01,6,53183.96719,584466.4704,10.98952375,28.26587178,1.35E+11,18.69216457,2538358.967
3.1_B,GT2023_N03,Cold-Dormancy,Plate1,B,GT2023_N03.01,6,53511.98403,1301750.445,24.32633491,27.4124059,1.90E+11,18.2699677,3550606.531
3.1_C,GT2023_N03,Cold-Dormancy,Plate1,C,GT2023_N03.01,6,27029.11243,553130.1304,20.46423581,28.40372876,1.58E+11,18.56643936,5845548.958
3.1_D,GT2023_N03,Cold-Dormancy,Plate3,D,GT2023_N03.01,6,22836.75771,262850.3899,11.50996973,28.30525837,1.11E+11,18.74239793,4854397.257
3.2_A,GT2023_N03,Cold-Dormancy,Plate4,A,GT2023_N03.02,1,73973.07348,1531182.93,20.69919307,26.98613985,1.98E+11,18.31559382,2680724.262
3.2_B,GT2023_N03,Cold-Dormancy,Plate1,B,GT2023_N03.02,1,15731.99977,408728.2496,25.98069257,29.19540123,2.02E+11,18.16832284,12840071.38
3.2_C,GT2023_N03,Cold-Dormancy,Plate4,C,GT2023_N03.02,1,61196.75392,1088583.373,17.78825351,27.2715871,1.85E+11,18.42280985,3020490.425
3.2_D,GT2023_N03,Cold-Dormancy,Plate5,D,GT2023_N03.02,1,65946.00711,1090294.345,16.53313662,27.16108449,2.10E+11,18.42976692,3182826.017
3.3_A,GT2023_N03,Constant-Warmth,Plate5,A,GT2023_N03.03,8,57620.57376,857728.546,14.88580363,27.35805711,1.59E+11,18.86904867,2754192.096
3.3_B,GT2023_N03,Constant-Warmth,Plate2,B,GT2023_N03.03,8,33145.43436,562084.7833,16.95813599,28.94824026,1.68E+11,18.36448338,5068571.38
3.3_C,GT2023_N03,Constant-Warmth,Plate1,C,GT2023_N03.03,8,9798.60519,169972.2745,17.34657854,29.89564396,75692739665,19.75134457,7724848.404
3.3_D,GT2023_N03,Constant-Warmth,Plate4,D,GT2023_N03.03,8,50508.48024,696868.3978,13.79705733,27.55148112,1.95E+11,18.33753319,3870061.284
3.4_A,GT2023_N03,Cold-Dormancy,Plate4,A,GT2023_N03.04,9,76948.2647,1807130.237,23.48500313,26.92626157,2.29E+11,18.09869887,2975774.14
3.4_B,GT2023_N03,Cold-Dormancy,Plate5,B,GT2023_N03.04,9,75967.98809,1242232.391,16.35205068,26.95597656,2.35E+11,18.25406409,3088456.394
3.4_C,GT2023_N03,Cold-Dormancy,Plate2,C,GT2023_N03.04,9,20779.36429,510375.5153,24.56165204,29.6273446,1.70E+11,18.33972994,8181193.498
3.4_D,GT2023_N03,Cold-Dormancy,Plate6,D,GT2023_N03.04,9,74663.13864,1460487.659,19.56102684,27.05323179,2.89E+11,17.63045853,3865120.128
5.1_A,GT2023_N05,Constant-Warmth,Plate2,A,GT2023_N05.01,10,36466.97944,651267.5811,17.85910408,28.81020551,1.87E+11,18.2071719,5127926.768
5.1_B,GT2023_N05,Constant-Warmth,Plate5,B,GT2023_N05.01,10,35188.9863,863545.9613,24.54023409,28.07888478,1.52E+11,18.9328819,4330337.981
5.1_C,GT2023_N05,Constant-Warmth,Plate1,C,GT2023_N05.01,10,18412.25913,367461.8925,19.95745823,28.96924294,1.40E+11,18.75870722,7603629.68
5.1_D,GT2023_N05,Constant-Warmth,Plate3,D,GT2023_N05.01,10,73792.35189,1043146.717,14.13624435,26.60261895,3.56E+11,17.04560104,4826210.074
5.2_B,GT2023_N05,Cold-Dormancy,Plate3,B,GT2023_N05.02,11,47524.9627,826038.7455,17.38115505,27.24049706,2.15E+11,17.77304673,4534235.321
5.2_C,GT2023_N05,Cold-Dormancy,Plate1,C,GT2023_N05.02,11,22533.02236,428523.7146,19.01758707,28.66709228,1.48E+11,18.67187405,6568137.981
5.2_D,GT2023_N05,Cold-Dormancy,Plate6,D,GT2023_N05.02,11,72976.76842,1382768.667,18.94806659,27.08832492,2.38E+11,17.92781636,3267464.498
5.3_A,GT2023_N05,Constant-Warmth,Plate2,A,GT2023_N05.03,12,45627.09039,583921.7005,12.7976975,28.4998256,1.19E+11,18.92134506,2608099.684
5.3_B,GT2023_N05,Constant-Warmth,Plate1,B,GT2023_N05.03,12,21610.26376,606569.3574,28.06857723,28.73218068,2.13E+11,18.08227107,9856427.592
5.3_C,GT2023_N05,Constant-Warmth,Plate3,C,GT2023_N05.03,12,25276.65275,299036.5589,11.83054425,28.15480908,1.54E+11,18.25352212,6086174.511
5.3_D,GT2023_N05,Constant-Warmth,Plate2,D,GT2023_N05.03,12,22038.20572,388639.1896,17.63479271,29.54005197,1.88E+11,18.19409595,8530640.035
5.4_B,GT2023_N05,Cold-Dormancy,Plate2,B,GT2023_N05.04,1,64928.12907,764912.7501,11.7809147,27.97446211,1.71E+11,18.33763556,2633681.31
5.4_C,GT2023_N05,Cold-Dormancy,Plate3,C,GT2023_N05.04,1,22440.83893,418958.6515,18.66947367,28.32733115,1.90E+11,17.96327785,8464206.778
5.4_D,GT2023_N05,Cold-Dormancy,Plate1,D,GT2023_N05.04,1,17733.59411,336929.9896,18.99953205,29.01685241,1.83E+11,18.32729651,10319397.12
5.5_A,GT2023_N05,Constant-Warmth,Plate2,A,GT2023_N05.05,2,35621.24152,481842.2863,13.52682461,28.8438392,1.67E+11,18.36906495,4688213.911
5.5_B,GT2023_N05,Constant-Warmth,Plate2,B,GT2023_N05.05,2,18337.73851,434710.3954,23.70578003,29.80578195,1.55E+11,18.48789798,8452514.464
5.5_C,GT2023_N05,Constant-Warmth,Plate5,C,GT2023_N05.05,2,43585.44776,608392.6335,13.95861841,27.76601063,1.35E+11,19.12002283,3104096.873
5.5_D,GT2023_N05,Constant-Warmth,Plate3,D,GT2023_N05.05,2,52378.47715,1138436.547,21.73481569,27.09954843,2.97E+11,17.31484534,5661633.761
5.6_B,GT2023_N05,Cold-Dormancy,Plate6,B,GT2023_N05.06,3,74862.47203,1192430.684,15.92828359,27.0492771,2.94E+11,17.60148425,3929552.311
6.2_A,GT2023_N06,Constant-Warmth,Plate3,A,GT2023_N06.02,5,55280.34342,673199.2798,12.17791421,27.02106009,2.19E+11,17.75189051,3963691.264
6.2_B,GT2023_N06,Constant-Warmth,Plate4,B,GT2023_N06.02,5,43800.35462,1203280.744,27.47194069,27.76809665,2.49E+11,17.97336677,5679100.185
6.2_C,GT2023_N06,Constant-Warmth,Plate3,C,GT2023_N06.02,5,30958.01309,506531.4203,16.36188404,27.86104233,1.47E+11,18.32441896,4743628.948
6.2_D,GT2023_N06,Constant-Warmth,Plate6,D,GT2023_N06.02,5,116294.2794,1549581.785,13.32466045,26.40231281,4.75E+11,16.84987463,4088576.002
6.3_B,GT2023_N06,Cold-Dormancy,Plate5,B,GT2023_N06.03,6,54133.02178,959123.8267,17.71790665,27.44975519,2.17E+11,18.37787215,4006845.121
6.3_C,GT2023_N06,Cold-Dormancy,Plate6,C,GT2023_N06.03,6,56992.06967,941919.0381,16.52719481,27.44986921,2.34E+11,17.95544876,4110870.185
6.3_D,GT2023_N06,Cold-Dormancy,Plate2,D,GT2023_N06.03,6,18114.70937,348898.5671,19.26051144,29.82698921,1.26E+11,18.80578442,6955673.282
6.4_A,GT2023_N06,Cold-Dormancy,Plate2,A,GT2023_N06.04,9,25342.21729,290762.3035,11.47343582,29.33854078,1.35E+11,18.69485181,5327079.256
6.4_B,GT2023_N06,Cold-Dormancy,Plate4,B,GT2023_N06.04,9,54753.67764,954139.0169,17.42602612,27.43239372,2.47E+11,17.98667386,4503181.419
6.4_C,GT2023_N06,Cold-Dormancy,Plate2,C,GT2023_N06.04,9,27804.85685,518079.2855,18.63269027,29.20269826,1.94E+11,18.13937892,6977198.303
6.4_D,GT2023_N06,Cold-Dormancy,Plate4,D,GT2023_N06.04,9,19205.20224,552679.0037,28.7775675,28.98134689,1.93E+11,18.35917777,10031655.49
6.5_A,GT2023_N06,Constant-Warmth,Plate5,A,GT2023_N06.05,8,55719.09036,923154.1786,16.56800519,27.40764634,1.99E+11,18.51636105,3564255.619
6.5_B,GT2023_N06,Constant-Warmth,Plate6,B,GT2023_N06.05,8,77406.73288,1273803.065,16.45597246,27.00023577,3.12E+11,17.50803425,4028590.129
