,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,B12,SYBR,,Unkn-34,10.5_B,,17.4108662955328,17.3901534511598,0.029292385427559,275889608948.457,11.4407353436059,279917540392.759,5696355276.84012,60,
,C01,SYBR,,Std-03,STD3,,24.4905359460078,24.3858657595064,0.148025997326436,3000000000,9.47712125471966,3000000000,0,60,
,C02,SYBR,,Std-03,STD3,,24.2811955730049,24.3858657595064,0.148025997326436,3000000000,9.47712125471966,3000000000,0,60,
,C03,SYBR,,Unkn-03,7.5_A,,17.997887633564,17.8979725632093,0.14130124758105,183489039735.123,11.263610127854,197153107149.446,19323909454.5159,60,
,C04,SYBR,,Unkn-03,7.5_A,,17.7980574928546,17.8979725632093,0.14130124758105,210817174563.769,11.3239059884876,197153107149.446,19323909454.5159,60,
,C05,SYBR,,Unkn-11,10.2_B,,17.551033358975,17.4452254418947,0.149634991341499,250289110786.004,11.3984419553676,270109830220.859,28030730240.763,60,
,C06,SYBR,,Unkn-11,10.2_B,,17.3394175248143,17.4452254418947,0.149634991341499,289930549655.713,11.4622939788868,270109830220.859,28030730240.763,60,
,C07,SYBR,,Unkn-19,7.2_B,,17.3851585565761,17.4307092667844,0.0644184321522362,280861546443.373,11.4484922827735,272248478925.99,12180716896.7177,60,
,C08,SYBR,,Unkn-19,7.2_B,,17.4762599769926,17.4307092667844,0.0644184321522362,263635411408.607,11.4210037441104,272248478925.99,12180716896.7177,60,
,C09,SYBR,,Unkn-27,14.5_B,,17.2336912002708,17.1540160562407,0.112677669271311,312029296024.32,11.4941953712762,330294436821.705,25830809834.3157,60,
,C10,SYBR,,Unkn-27,14.5_B,,17.0743409122107,17.1540160562407,0.112677669271311,348559577619.09,11.5422770206544,330294436821.705,25830809834.3157,60,
,C11,SYBR,,Unkn-35,11.2_C,,17.1106731268062,17.2279830221274,0.165901244963778,339871148671.633,11.5313142993153,314310298768.142,36148500599.2996,60,
,C12,SYBR,,Unkn-35,11.2_C,,17.3452929174486,17.2279830221274,0.165901244963778,288749448864.651,11.4605211639642,314310298768.142,36148500599.2996,60,
,D01,SYBR,,Std-04,STD4,,26.9438556934162,26.9002050995215,0.0617312618915753,300000000,8.47712125471966,300000000,0,60,
,D02,SYBR,,Std-04,STD4,,26.8565545056268,26.9002050995215,0.0617312618915753,300000000,8.47712125471966,300000000,0,60,
,D03,SYBR,,Unkn-04,13.1_A,,18.3154561089775,18.276463970964,0.0551432104047027,147159540856.336,11.167788424145,151256164821.96,5793501172.12683,60,
,D04,SYBR,,Unkn-04,13.1_A,,18.2374718329504,18.276463970964,0.0551432104047027,155352788787.583,11.1913190538201,151256164821.96,5793501172.12683,60,
