Well,Fluor,,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
B08,VIC,,,Unkn-18,5.1_A,,28.84268636,28.81020551,0.045934865,35649.4123,4.552052375,36466.97944,1156.214534,62,
B09,VIC,,,Unkn-26,10.4_B,,29.28757135,29.2604907,0.038297811,26222.20485,4.418669206,26721.71188,706.4096197,62,
B10,VIC,,,Unkn-26,10.4_B,,29.23341006,29.2604907,0.038297811,27221.21892,4.434907568,26721.71188,706.4096197,62,
B11,VIC,,,Unkn-34,11.2_D,,29.24616522,29.20589938,0.056944494,26982.57431,4.431083382,27753.86364,1090.767835,62,
B12,VIC,,,Unkn-34,11.2_D,,29.16563354,29.20589938,0.056944494,28525.15297,4.455227982,27753.86364,1090.767835,62,
C01,VIC,,,Std-03,STD3,,25.7013406,25.72047979,0.027066901,300000,5.477121255,300000,0,62,
C02,VIC,,,Std-03,STD3,,25.73961898,25.72047979,0.027066901,300000,5.477121255,300000,0,62,
C03,VIC,,,Unkn-03,7.1_A,,29.01783181,28.95980037,0.08206885,31589.38355,4.499541151,32906.99793,1863.388136,62,
C04,VIC,,,Unkn-03,7.1_A,,28.90176893,28.95980037,0.08206885,34224.61232,4.534338537,32906.99793,1863.388136,62,
C05,VIC,,,Unkn-11,14.5_C,,29.03262226,29.01766315,0.021155367,31268.47886,4.495106754,31594.74648,461.4121024,62,
C06,VIC,,,Unkn-11,14.5_C,,29.00270405,29.01766315,0.021155367,31921.01411,4.50407668,31594.74648,461.4121024,62,
C07,VIC,,,Unkn-19,7.5_D,,29.67682236,29.66903375,0.011014759,20043.14797,4.301965933,20151.49877,153.2311752,62,
C08,VIC,,,Unkn-19,7.5_D,,29.66124514,29.66903375,0.011014759,20259.84958,4.306636217,20151.49877,153.2311752,62,
C09,VIC,,,Unkn-27,10.5_D,,29.75915144,29.49786257,0.36951827,18935.74709,4.277282444,23048.78975,5816.720714,62,
C10,VIC,,,Unkn-27,10.5_D,,29.23657369,29.49786257,0.36951827,27161.83241,4.433959065,23048.78975,5816.720714,62,
C11,VIC,,,Unkn-35,5.3_A,,28.70579496,28.4998256,0.291284661,39182.70944,4.593094464,45627.09039,9113.730931,62,
C12,VIC,,,Unkn-35,5.3_A,,28.29385624,28.4998256,0.291284661,52071.47133,4.716599849,45627.09039,9113.730931,62,
D01,VIC,,,Std-04,STD4,,29.28280365,29.25512619,0.039141842,30000,4.477121255,30000,0,62,
D02,VIC,,,Std-04,STD4,,29.22744873,29.25512619,0.039141842,30000,4.477121255,30000,0,62,
D03,VIC,,,Unkn-04,13.3_D,,29.51684926,29.39388889,0.173892223,22383.51365,4.349928261,24454.36622,2928.627788,62,
D04,VIC,,,Unkn-04,13.3_D,,29.27092852,29.39388889,0.173892223,26525.21879,4.423658975,24454.36622,2928.627788,62,
D05,VIC,,,Unkn-12,12.2_D,,28.36846499,27.98276712,0.54545916,49457.37153,4.694231032,66847.5848,24593.47546,62,
D06,VIC,,,Unkn-12,12.2_D,,27.59706924,27.98276712,0.54545916,84237.79807,4.925507006,66847.5848,24593.47546,62,
D07,VIC,,,Unkn-20,3.4_C,,29.7170449,29.6273446,0.126855377,19494.25375,4.289906615,20779.36429,1817.420745,62,
D08,VIC,,,Unkn-20,3.4_C,,29.5376443,29.6273446,0.126855377,22064.47482,4.343693595,20779.36429,1817.420745,62,
D09,VIC,,,Unkn-28,10.4_C,,29.65285215,29.59978165,0.075053014,20377.57788,4.309152562,21152.18797,1095.464101,62,
D10,VIC,,,Unkn-28,10.4_C,,29.54671116,29.59978165,0.075053014,21926.79807,4.340975217,21152.18797,1095.464101,62,
D11,VIC,,,Unkn-36,15.1_B,,27.95391404,27.96763309,0.019401671,65844.51501,4.818519603,65226.77456,873.6169146,62,
D12,VIC,,,Unkn-36,15.1_B,,27.98135214,27.96763309,0.019401671,64609.03412,4.810293249,65226.77456,873.6169146,62,
E01,VIC,,,Std-05,STD5,,32.56857613,32.46937797,0.140287375,3000,3.477121255,3000,0,62,
E02,VIC,,,Std-05,STD5,,32.37017982,32.46937797,0.140287375,3000,3.477121255,3000,0,62,
E03,VIC,,,Unkn-05,8.1_C,,30.02844608,29.96124675,0.095034205,15723.30668,4.196543885,16487.63672,1080.925916,62,
E04,VIC,,,Unkn-05,8.1_C,,29.89404742,29.96124675,0.095034205,17251.96677,4.236838613,16487.63672,1080.925916,62,
E05,VIC,,,Unkn-13,3.1_A,,28.35330929,28.26587178,0.123655299,49977.54714,4.698774938,53183.96719,4534.56271,62,
E06,VIC,,,Unkn-13,3.1_A,,28.17843428,28.26587178,0.123655299,56390.38723,4.751205077,53183.96719,4534.56271,62,
E07,VIC,,,Unkn-21,13.2_C,,29.25708547,29.30293232,0.064837237,26779.92314,4.427809326,25958.59873,1161.528129,62,
