,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,B04,SYBR,,Unkn-02,10.1_A,,18.4056015610251,18.3671865106637,0.054327085220213,163262313622.909,11.212885946681,167478761437.787,5962957684.83752,60,
,B05,SYBR,,Unkn-10,3.3_B,,18.352229292563,18.3644833810315,0.017329898106633,169075285378.938,11.2280801291353,167728015367.291,1905327522.65035,60,
,B06,SYBR,,Unkn-10,3.3_B,,18.3767374695,18.3644833810315,0.017329898106633,166380745355.643,11.2211030655266,167728015367.291,1905327522.65035,60,
,B07,SYBR,,Unkn-18,5.1_A,,18.0704030780683,18.2071719040081,0.193420328553805,203381425746.11,11.3083112875036,186688916458.321,23606773024.8303,60,
,B08,SYBR,,Unkn-18,5.1_A,,18.3439407299478,18.2071719040081,0.193420328553805,169996407170.532,11.2304397427753,186688916458.321,23606773024.8303,60,
,B09,SYBR,,Unkn-26,10.4_B,,18.1199170234,18.3695329984868,0.353010297352754,196886303113.61,11.2942155044109,169411159224.037,38855721116.7866,60,
,B10,SYBR,,Unkn-26,10.4_B,,18.6191489735736,18.3695329984868,0.353010297352754,141936015334.464,11.152092608822,169411159224.037,38855721116.7866,60,
,B11,SYBR,,Unkn-34,11.2_D,,18.9734213938129,19.055265362855,0.115744851017748,112521947585.626,11.0512372405423,106797810747.02,8095151950.0348,60,
,B12,SYBR,,Unkn-34,11.2_D,,19.1371093318971,19.055265362855,0.115744851017748,101073673908.415,11.0046380520781,106797810747.02,8095151950.0348,60,
,C01,SYBR,,Std-03,STD3,,24.6102519734559,24.8086186819101,0.280532889419192,3000000000,9.47712125471966,3000000000,0,60,
,C02,SYBR,,Std-03,STD3,,25.0069853903643,24.8086186819101,0.280532889419192,3000000000,9.47712125471966,3000000000,0,60,
,C03,SYBR,,Unkn-03,7.1_A,,18.0766808357343,18.1373264315141,0.0857658240500848,202546207603.944,11.3065241160355,194806040181.696,10946249743.5822,60,
,C04,SYBR,,Unkn-03,7.1_A,,18.197972027294,18.1373264315141,0.0857658240500848,187065872759.447,11.2719945644956,194806040181.696,10946249743.5822,60,
,C05,SYBR,,Unkn-11,14.5_C,,17.9654187090115,18.008786985627,0.0613320049663747,217870566366.455,11.33819856238,211849680830.332,8514817982.68119,60,
,C06,SYBR,,Unkn-11,14.5_C,,18.0521552622425,18.008786985627,0.0613320049663747,205828795294.209,11.3135061321493,211849680830.332,8514817982.68119,60,
,C07,SYBR,,Unkn-19,7.5_D,,18.4370379080877,18.3957586049566,0.0583777503334174,159932435245.713,11.2039365501736,164379267906.201,6288771058.06575,60,
,C08,SYBR,,Unkn-19,7.5_D,,18.3544793018254,18.3957586049566,0.0583777503334174,168826100566.689,11.2274395895398,164379267906.201,6288771058.06575,60,
,C09,SYBR,,Unkn-27,10.5_D,,18.077073454124,18.1851310143586,0.152816467200677,202494086184.698,11.3064123442181,189120563927.988,18913016552.137,60,
,C10,SYBR,,Unkn-27,10.5_D,,18.2931885745931,18.1851310143586,0.152816467200677,175747041671.279,11.2448880233268,189120563927.988,18913016552.137,60,
,C11,SYBR,,Unkn-35,5.3_A,,18.591987274259,18.9213450583932,0.46578224519581,144485772874.441,11.159825085388,119153369429.949,35825428518.7078,60,
,C12,SYBR,,Unkn-35,5.3_A,,19.2507028425275,18.9213450583932,0.46578224519581,93820965985.4563,10.9722999001523,119153369429.949,35825428518.7078,60,
,D01,SYBR,,Std-04,STD4,,27.8547559159147,27.7379288868787,0.165218368914463,300000000,8.47712125471966,300000000,0,60,
,D02,SYBR,,Std-04,STD4,,27.6211018578427,27.7379288868787,0.165218368914463,300000000,8.47712125471966,300000000,0,60,
,D03,SYBR,,Unkn-04,13.3_D,,18.708788995552,18.6179590329565,0.128452964972457,133836203971.027,11.1265736101285,142298621077.636,11967665042.6255,60,
,D04,SYBR,,Unkn-04,13.3_D,,18.527129070361,18.6179590329565,0.128452964972457,150761038184.246,11.1782891194657,142298621077.636,11967665042.6255,60,
,D05,SYBR,,Unkn-12,12.2_D,,17.6864411999808,17.7767852969358,0.127765847194079,261588557176.428,11.4176187424663,246979227920.566,20660711570.8129,60,
,D06,SYBR,,Unkn-12,12.2_D,,17.8671293938908,17.7767852969358,0.127765847194079,232369898664.705,11.3661798685956,246979227920.566,20660711570.8129,60,
,D07,SYBR,,Unkn-20,3.4_C,,18.3554076829376,18.3397299441008,0.0221716708904438,168723390949.799,11.2271752951334,170475281284.136,2477547070.60979,60,
,D08,SYBR,,Unkn-20,3.4_C,,18.3240522052639,18.3397299441008,0.0221716708904438,172227171618.473,11.2361016694931,170475281284.136,2477547070.60979,60,
,D09,SYBR,,Unkn-28,10.4_C,,18.1788550937899,18.2532130116436,0.10515797589862,189424797761.82,11.27743683225,180627588418.934,12441132763.7448,60,
,D10,SYBR,,Unkn-28,10.4_C,,18.3275709294974,18.2532130116436,0.10515797589862,171830379076.048,11.2350999481957,180627588418.934,12441132763.7448,60,
,D11,SYBR,,Unkn-36,15.1_B,,17.8885936163266,18.022486574164,0.189353236879887,229123358915.187,11.3600693673685,210679795317.751,26083137777.9841,60,
,D12,SYBR,,Unkn-36,15.1_B,,18.1563795320014,18.022486574164,0.189353236879887,192236231720.316,11.2838352446918,210679795317.751,26083137777.9841,60,
,E03,SYBR,,Unkn-05,8.1_C,,18.4099044065796,18.3993933304628,0.0148649063996265,162802473630.945,11.2116609993008,163931960811.906,1597336089.8424,60,
,E04,SYBR,,Unkn-05,8.1_C,,18.3888822543459,18.3993933304628,0.0148649063996265,165061447992.868,11.2176456506155,163931960811.906,1597336089.8424,60,
,E05,SYBR,,Unkn-13,3.1_A,,18.7569517871952,18.6921645683507,0.0916229635582638,129676857521.862,11.1128624776467,135424682610.254,8128652194.15204,60,
,E06,SYBR,,Unkn-13,3.1_A,,18.6273773495063,18.6921645683507,0.0916229635582638,141172507698.646,11.1497501293129,135424682610.254,8128652194.15204,60,
,E07,SYBR,,Unkn-21,13.2_C,,18.2272822753642,18.3541226821985,0.179379423601939,183506069171.369,11.2636504324249,169449595878.082,19878855170.5015,60,
,E08,SYBR,,Unkn-21,13.2_C,,18.4809630890327,18.3541226821985,0.179379423601939,155393122584.795,11.1914317938113,169449595878.082,19878855170.5015,60,
,E09,SYBR,,Unkn-29,11.3_B,,18.3250709969902,18.3517868361406,0.0377819020566488,172112192378.237,11.2358116367136,169150264554.622,4188798498.9262,60,
,E10,SYBR,,Unkn-29,11.3_B,,18.378502675291,18.3517868361406,0.0377819020566488,166188336731.007,11.2206005412826,169150264554.622,4188798498.9262,60,
,E11,SYBR,,Unkn-37,15.3_B,,18.7286388878204,18.6867993975269,0.059169974615837,132106042137.302,11.1209226814062,135830403992.908,5267043047.38314,60,
,E12,SYBR,,Unkn-37,15.3_B,,18.6449599072334,18.6867993975269,0.059169974615837,139554765848.514,11.1447446724002,135830403992.908,5267043047.38314,60,
,F03,SYBR,,Unkn-06,5.3_D,,18.1778434269899,18.1940959517301,0.0229845409103491,189550457370.913,11.2777248366834,187552416200.012,2825656922.06782,60,
,F04,SYBR,,Unkn-06,5.3_D,,18.2103484764703,18.1940959517301,0.0229845409103491,185554375029.111,11.2684711986665,187552416200.012,2825656922.06782,60,
,F05,SYBR,,Unkn-14,6.4_C,,18.1557792106888,18.1393789162373,0.0231935188402745,192311894418.435,11.2840061460198,194401731387.282,2955475784.49209,60,
,F06,SYBR,,Unkn-14,6.4_C,,18.1229786217857,18.1393789162373,0.0231935188402745,196491568356.129,11.2933439191136,194401731387.282,2955475784.49209,60,
,F09,SYBR,,Unkn-30,17.5_B,,18.1949991222558,18.1901821482948,0.00681222990532307,187430774724.527,11.2728409002964,188024471370.872,839613849.196675,60,
,F10,SYBR,,Unkn-30,17.5_B,,18.1853651743337,18.1901821482948,0.00681222990532307,188618168017.217,11.2755835223865,188024471370.872,839613849.196675,60,
,F11,SYBR,,Unkn-38,5.4_B,,18.3327967432686,18.3376355555398,0.00684311393971967,171242771206.896,11.233612247369,170701329651.122,765713991.40727,60,
,F12,SYBR,,Unkn-38,5.4_B,,18.3424743678111,18.3376355555398,0.00684311393971967,170159888095.349,11.2308571912836,170701329651.122,765713991.40727,60,
,G03,SYBR,,Unkn-07,9.6_D,,18.2841595143123,18.2813151760752,0.00402250171100403,176790304620.931,11.2474584441324,177120542612.589,467027046.613884,60,
,G04,SYBR,,Unkn-07,9.6_D,,18.278470837838,18.2813151760752,0.00402250171100403,177450780604.247,11.249077914145,177120542612.589,467027046.613884,60,
,G05,SYBR,,Unkn-15,9.4_C,,18.839021048258,18.7379251206386,0.142971231940003,122884963999.788,11.0894987465853,131592753080.524,12314673416.2615,60,
,G06,SYBR,,Unkn-15,9.4_C,,18.6368291930192,18.7379251206386,0.142971231940003,140300542161.26,11.1470593492692,131592753080.524,12314673416.2615,60,
,G07,SYBR,,Unkn-23,5.5_B,,18.4659453959759,18.4878979803097,0.0310456424939862,156930398336.048,11.1957070771171,154704345059.377,3148114734.43392,60,
,G08,SYBR,,Unkn-23,5.5_B,,18.5098505646434,18.4878979803097,0.0310456424939862,152478291782.705,11.1832080179119,154704345059.377,3148114734.43392,60,
,G09,SYBR,,Unkn-31,6.4_A,,18.5876741604436,18.6948518130848,0.15157208994854,144894852121.481,11.1610529559684,135397990576.62,13430590396.7224,60,
,G10,SYBR,,Unkn-31,6.4_A,,18.802029465726,18.6948518130848,0.15157208994854,125901129031.759,11.1000296247073,135397990576.62,13430590396.7224,60,
