Well,,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
B05,,SYBR,,Unkn-10,3.3_B,,18.35222929,18.36448338,0.017329898,1.69E+11,11.22808013,1.68E+11,1905327523,60,
B06,,SYBR,,Unkn-10,3.3_B,,18.37673747,18.36448338,0.017329898,1.66E+11,11.22110307,1.68E+11,1905327523,60,
B07,,SYBR,,Unkn-18,5.1_A,,18.07040308,18.2071719,0.193420329,2.03E+11,11.30831129,1.87E+11,23606773025,60,
B08,,SYBR,,Unkn-18,5.1_A,,18.34394073,18.2071719,0.193420329,1.70E+11,11.23043974,1.87E+11,23606773025,60,
B09,,SYBR,,Unkn-26,10.4_B,,18.11991702,18.369533,0.353010297,1.97E+11,11.2942155,1.69E+11,38855721117,60,
B10,,SYBR,,Unkn-26,10.4_B,,18.61914897,18.369533,0.353010297,1.42E+11,11.15209261,1.69E+11,38855721117,60,
B11,,SYBR,,Unkn-34,11.2_D,,18.97342139,19.05526536,0.115744851,1.13E+11,11.05123724,1.07E+11,8095151950,60,
B12,,SYBR,,Unkn-34,11.2_D,,19.13710933,19.05526536,0.115744851,1.01E+11,11.00463805,1.07E+11,8095151950,60,
C01,,SYBR,,Std-03,STD3,,24.61025197,24.80861868,0.280532889,3000000000,9.477121255,3000000000,0,60,
C02,,SYBR,,Std-03,STD3,,25.00698539,24.80861868,0.280532889,3000000000,9.477121255,3000000000,0,60,
C03,,SYBR,,Unkn-03,7.1_A,,18.07668084,18.13732643,0.085765824,2.03E+11,11.30652412,1.95E+11,10946249744,60,
C04,,SYBR,,Unkn-03,7.1_A,,18.19797203,18.13732643,0.085765824,1.87E+11,11.27199456,1.95E+11,10946249744,60,
C05,,SYBR,,Unkn-11,14.5_C,,17.96541871,18.00878699,0.061332005,2.18E+11,11.33819856,2.12E+11,8514817983,60,
C06,,SYBR,,Unkn-11,14.5_C,,18.05215526,18.00878699,0.061332005,2.06E+11,11.31350613,2.12E+11,8514817983,60,
C07,,SYBR,,Unkn-19,7.5_D,,18.43703791,18.3957586,0.05837775,1.60E+11,11.20393655,1.64E+11,6288771058,60,
C08,,SYBR,,Unkn-19,7.5_D,,18.3544793,18.3957586,0.05837775,1.69E+11,11.22743959,1.64E+11,6288771058,60,
C09,,SYBR,,Unkn-27,10.5_D,,18.07707345,18.18513101,0.152816467,2.02E+11,11.30641234,1.89E+11,18913016552,60,
C10,,SYBR,,Unkn-27,10.5_D,,18.29318857,18.18513101,0.152816467,1.76E+11,11.24488802,1.89E+11,18913016552,60,
C11,,SYBR,,Unkn-35,5.3_A,,18.59198727,18.92134506,0.465782245,1.44E+11,11.15982509,1.19E+11,35825428519,60,
C12,,SYBR,,Unkn-35,5.3_A,,19.25070284,18.92134506,0.465782245,93820965985,10.9722999,1.19E+11,35825428519,60,
