Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
B12,VIC,,Unkn-34,17.5_C,,28.13544576,28.13273097,0.003839293,32503.13697,4.511925278,32564.05975,86.15782531,62,
C01,VIC,,Std-03,STD3,,25.04923636,25.04982574,0.000833522,300000,5.477121255,300000,0,62,
C02,VIC,,Std-03,STD3,,25.05041513,25.04982574,0.000833522,300000,5.477121255,300000,0,62,
C03,VIC,,Unkn-03,9.1_C,,27.98489455,27.86350053,0.17167707,36056.49377,4.556983492,39339.89894,4643.436131,62,
C04,VIC,,Unkn-03,9.1_C,,27.74210651,27.86350053,0.17167707,42623.30412,4.629647113,39339.89894,4643.436131,62,
C05,VIC,,Unkn-11,15.2_C,,29.03863034,29.02493377,0.01936987,17442.65937,4.2416127,17608.86109,235.0447255,62,
C06,VIC,,Unkn-11,15.2_C,,29.0112372,29.02493377,0.01936987,17775.06281,4.249811144,17608.86109,235.0447255,62,
C07,VIC,,Unkn-19,3.3_C,,30.13833193,29.89564396,0.343212618,8174.94573,3.912484878,9798.60519,2296.201229,62,
C08,VIC,,Unkn-19,3.3_C,,29.65295599,29.89564396,0.343212618,11422.26465,4.057752218,9798.60519,2296.201229,62,
C09,VIC,,Unkn-27,10.6_A,,29.25539828,29.19663076,0.083109814,15022.30554,4.176736591,15656.00958,896.1928452,62,
C10,VIC,,Unkn-27,10.6_A,,29.13786325,29.19663076,0.083109814,16289.71362,4.211913449,15656.00958,896.1928452,62,
C11,VIC,,Unkn-35,9.4_D,,29.37517816,29.19478951,0.255108083,13832.09213,4.140887873,15784.22211,2760.728687,62,
C12,VIC,,Unkn-35,9.4_D,,29.01440085,29.19478951,0.255108083,17736.35208,4.248864301,15784.22211,2760.728687,62,
D01,VIC,,Std-04,STD4,,28.37071305,28.37517065,0.00630399,30000,4.477121255,30000,0,62,
D02,VIC,,Std-04,STD4,,28.37962824,28.37517065,0.00630399,30000,4.477121255,30000,0,62,
D03,VIC,,Unkn-04,8.1_A,,28.17315087,28.18486518,0.01656654,31669.45421,4.500640579,31415.84701,358.6547415,62,
D04,VIC,,Unkn-04,8.1_A,,28.1965795,28.18486518,0.01656654,31162.23981,4.493628665,31415.84701,358.6547415,62,
D05,VIC,,Unkn-12,10.6_D,,28.6713541,28.50157363,0.240105848,22466.43583,4.35153418,25428.06776,4188.380035,62,
D06,VIC,,Unkn-12,10.6_D,,28.33179316,28.50157363,0.240105848,28389.69968,4.453160798,25428.06776,4188.380035,62,
D07,VIC,,Unkn-20,9.4_B,,29.71011249,29.73119324,0.029812688,10981.10255,4.040645947,10823.86959,222.3609758,62,
D08,VIC,,Unkn-20,9.4_B,,29.752274,29.73119324,0.029812688,10666.63664,4.028027501,10823.86959,222.3609758,62,
D09,VIC,,Unkn-28,5.4_D,,29.09724684,29.01685241,0.113694899,16752.10803,4.224069465,17733.59411,1388.030925,62,
D10,VIC,,Unkn-28,5.4_D,,28.93645797,29.01685241,0.113694899,18715.08019,4.272191692,17733.59411,1388.030925,62,
D11,VIC,,Unkn-36,9.5_B,,29.16372793,29.12277229,0.057920021,16001.93326,4.204172455,16466.56278,657.0853659,62,
D12,VIC,,Unkn-36,9.5_B,,29.08181665,29.12277229,0.057920021,16931.1923,4.228687542,16466.56278,657.0853659,62,
E01,VIC,,Std-05,STD5,,31.62854264,31.55297807,0.106864446,3000,3.477121255,3000,0,62,
E02,VIC,,Std-05,STD5,,31.47741349,31.55297807,0.106864446,3000,3.477121255,3000,0,62,
